#{"t_start": 1787048537.1936584, "env_id": "None"}
r,l,t
-126.6555,500,16.51816
-158.65587,500,16.518203
-145.7229,500,16.51821
-145.72708,500,16.518214
-129.76883,500,26.559894
-139.88672,500,26.559934
-127.77018,500,26.559941
-118.74502,500,26.559945
-150.60501,500,37.513294
-127.39308,500,37.513334
-129.87248,500,37.51334
-127.04956,500,37.513345
-129.93088,500,49.144821
-133.19417,500,49.144864
-157.42102,500,49.14487
-118.4724,500,49.144876
-125.41476,500,61.711134
-131.74312,500,61.711197
-132.8235,500,61.711203
-125.35211,500,61.711208
-140.90613,500,72.81913
-125.562416,500,72.81917
-143.32562,500,72.819176
-143.0267,500,72.81918
-142.35115,500,83.476649
-144.88571,500,83.476687
-138.91338,500,83.476693
-144.19998,500,83.476697
-157.58643,500,94.523381
-148.37134,500,94.523419
-129.25473,500,94.523426
-139.62137,500,94.52343
-125.99204,500,106.877035
-135.07214,500,106.877077
-141.34155,500,106.877084
-149.34021,500,106.877088
-126.41305,500,117.036077
-137.44337,500,117.036117
-144.99207,500,117.036123
-130.8415,500,117.036127
-121.12897,500,129.279315
-135.48312,500,129.279364
-134.16173,500,129.27937
-130.09401,500,129.279375
-156.79614,500,140.11004
-124.62026,500,140.110079
-127.800606,500,140.110084
-138.55057,500,140.110088
-144.30533,500,155.364227
-143.41272,500,155.364272
-141.47238,500,155.364279
-132.25002,500,155.364283
-129.28786,500,167.210967
-115.202576,500,167.211017
-151.86494,500,167.211024
-125.49358,500,167.211028
-144.15222,500,179.252084
-122.563934,500,179.25213
-140.38225,500,179.252137
-134.54416,500,179.252141
-166.65405,500,189.632501
-127.9183,500,189.632543
-126.60211,500,189.632549
-120.81458,500,189.632553
-143.07797,500,201.525147
-144.20633,500,201.525191
-134.6539,500,201.525197
-152.6589,500,201.525201
-125.201385,500,212.981865
-139.22891,500,212.981905
-146.26065,500,212.981912
-142.39409,500,212.981915
-128.07544,500,223.187606
-129.44545,500,223.187649
-147.64328,500,223.187658
-144.30508,500,223.187662
-129.36484,500,233.6521
-123.238174,500,233.652141
-135.11377,500,233.652148
-121.87145,500,233.652152
-141.72565,500,247.023652
-125.71622,500,247.023695
-134.18735,500,247.023701
-140.37102,500,247.023705
-138.37367,500,259.862488
-137.83606,500,259.862531
-122.17174,500,259.862537
-135.42778,500,259.862541
-132.16376,500,270.175
-149.91046,500,270.175037
-154.79395,500,270.175044
-131.4874,500,270.175048
-153.78859,500,281.982797
-152.86444,500,281.982836
-130.32597,500,281.982843
-127.88591,500,281.982847
-161.81375,500,294.398292
-146.6972,500,294.398329
-172.165,500,294.398335
-159.00354,500,294.398339
-133.83427,500,304.338587
-122.54703,500,304.338626
-144.4013,500,304.338632
-153.62741,500,304.338635
-136.22192,500,314.74821
-127.38327,500,314.74825
-128.52364,500,314.748257
-137.05032,500,314.748262
-135.73036,500,325.904986
-132.86835,500,325.905025
-148.61171,500,325.905031
-141.62091,500,325.905035
-133.33388,500,338.674287
-151.77542,500,338.674321
-147.50433,500,338.674328
-135.59447,500,338.674332
-145.86008,500,349.681621
-151.46416,500,349.681663
-132.51091,500,349.681669
-135.10695,500,349.681673
-132.8409,500,359.55426
-135.85103,500,359.554297
-136.67384,500,359.554303
-130.29187,500,359.554308
-140.24374,500,370.865241
-136.88094,500,370.865279
-136.24475,500,370.865286
-145.43217,500,370.86529
-141.01088,500,382.924414
-143.92627,500,382.924453
-128.4893,500,382.924459
-157.06235,500,382.924463
-133.22728,500,392.85527
-139.1989,500,392.85531
-154.17181,500,392.855317
-139.66286,500,392.855321
-138.76045,500,402.948599
-136.29416,500,402.948642
-130.0542,500,402.948653
-138.31146,500,402.948661
-132.55382,500,415.39927
-134.16335,500,415.399308
-134.18657,500,415.399315
-144.42935,500,415.399319
-133.19557,500,429.196222
-134.44145,500,429.19626
-134.77602,500,429.196266
-129.78226,500,429.196271
-147.92165,500,441.713306
-138.54826,500,441.713343
-132.47803,500,441.713349
-131.18233,500,441.713353
-127.10387,500,453.473458
-140.90193,500,453.473507
-135.71481,500,453.473514
-141.85214,500,453.473518
-135.35909,500,465.360122
-140.6464,500,465.360162
-139.18239,500,465.360168
-136.04482,500,465.360172
-138.23232,500,504.775097
-137.80104,500,504.775137
-131.02298,500,504.775144
-133.47958,500,504.775148
-145.86644,500,514.38304
-144.29745,500,514.383078
-155.93192,500,514.383084
-135.03061,500,514.383089
-137.41856,500,524.431808
-125.422386,500,524.431845
-140.20044,500,524.431851
-128.37918,500,524.431855
-151.8509,500,536.178935
