#{"t_start": 1788259739.8431396, "env_id": "None"}
r,l,t
-846.2666,500,73.261371
-791.5093,500,73.261722
-1093.4913,500,73.261734
-1032.409,500,73.26174
-1048.473,500,73.261744
-1017.9654,500,73.261749
-936.25507,500,73.261754
-887.4233,500,73.261758
-972.51514,500,73.261761
-1037.3627,500,73.261766
-1007.35345,500,73.26177
-907.5669,500,73.261775
-881.1291,500,73.261779
-994.3486,500,73.261783
-1021.99603,500,73.261787
-982.58746,500,73.261791
-1019.58905,500,82.354026
-999.8567,500,82.354073
-856.4145,500,82.35408
-1013.9632,500,82.354085
-1029.2402,500,82.354089
-1174.896,500,82.354093
-953.12885,500,82.354097
-867.9679,500,82.354101
-1000.469,500,82.354105
-885.9027,500,82.35411
-957.41675,500,82.354115
-950.72833,500,82.354118
-1016.1054,500,82.354122
-971.96686,500,82.354126
-876.37964,500,82.354131
-1010.1444,500,82.354135
-1198.4789,500,91.368661
-950.4961,500,91.368711
-1025.9293,500,91.368718
-933.65295,500,91.368723
-912.82587,500,91.368727
-1179.6844,500,91.368732
-1040.236,500,91.368736
-1017.41614,500,91.36874
-979.50385,500,91.368744
-955.3124,500,91.368748
-836.21454,500,91.368752
-930.6509,500,91.368756
-1084.9246,500,91.36876
-890.5934,500,91.368764
-972.8067,500,91.368767
-986.08307,500,91.368771
-1035.6003,500,100.425513
-930.5485,500,100.425578
-1007.8684,500,100.425595
-985.15137,500,100.425609
-943.65265,500,100.42562
-1027.5659,500,100.425631
-871.2803,500,100.425641
-794.2118,500,100.425651
-1004.4891,500,100.425661
-944.6149,500,100.425671
-1020.8386,500,100.425683
-1049.4965,500,100.425694
-1077.9061,500,100.425704
-1064.111,500,100.425726
-993.7939,500,100.42579
-859.29694,500,100.425816
-965.94366,500,119.158216
-924.80615,500,119.16227
-846.8909,500,119.16228
-974.7491,500,119.162285
-855.66846,500,119.162289
-949.7891,500,119.162293
-1087.1039,500,119.162297
-976.55927,500,119.162301
-903.0898,500,119.162305
-923.72986,500,119.16231
-999.8446,500,119.162314
-981.0659,500,119.162318
-937.50793,500,119.162323
-991.05994,500,119.162327
-849.3915,500,119.162332
-977.0283,500,119.162336
-1028.595,500,128.233463
-913.11176,500,128.233528
-865.29803,500,128.233545
-900.61816,500,128.233557
-817.31366,500,128.233568
-968.18274,500,128.233578
-903.0862,500,128.233589
-856.26917,500,128.233598
-820.90686,500,128.233608
-887.43176,500,128.233619
-1069.5259,500,128.233629
-807.8893,500,128.233639
-900.30237,500,128.233649
-767.4725,500,128.23366
-883.6405,500,128.23367
-844.2379,500,128.23368
-832.508,500,137.289457
-842.51996,500,137.28951
-950.97424,500,137.289519
-970.2242,500,137.289525
-903.1763,500,137.289531
-977.9897,500,137.289536
-917.13495,500,137.289541
-1078.0319,500,137.289545
-862.6403,500,137.289551
-922.6207,500,137.289557
-970.1352,500,137.289561
-867.0679,500,137.289565
-970.78235,500,137.289569
-843.5749,500,137.289573
-961.8486,500,137.289577
-1183.107,500,137.289582
