#{"t_start": 1787541640.827562, "env_id": "None"}
r,l,t
-1061.5382,500,36.281296
-1266.5624,500,36.281341
-1137.4332,500,36.281348
-1040.1056,500,36.281352
-1306.821,500,36.281356
-1205.4955,500,36.281359
-1004.3094,500,36.281363
-1074.8403,500,36.281367
-1000.95825,500,66.808811
-971.6455,500,66.80885
-1069.6167,500,66.808856
-1210.663,500,66.808861
-911.27185,500,66.808864
-1073.6731,500,66.808868
-1366.8801,500,66.808871
-1138.687,500,66.808875
-1130.0819,500,97.791971
-926.6965,500,97.792016
-1280.5479,500,97.792022
-990.0108,500,97.792026
-1297.0315,500,97.79203
-1220.6902,500,97.792034
-1173.3424,500,97.792038
-1225.33,500,97.792041
-1130.0804,500,129.144367
-1280.7961,500,129.14441
-1151.9401,500,129.144417
-1130.8948,500,129.144421
-1099.4419,500,129.144425
-1158.7297,500,129.144429
-1371.8794,500,129.144433
-1002.4433,500,129.144436
-1096.1902,500,167.1129
-1038.9855,500,167.112948
-1194.6426,500,167.112955
-1062.597,500,167.112959
-1117.335,500,167.112963
-1141.8197,500,167.112967
-953.9424,500,167.112971
-1224.9897,500,167.112974
-1127.6832,500,202.016576
-1114.6508,500,202.016616
-1035.9696,500,202.016622
-1101.3464,500,202.016627
-1107.5479,500,202.01663
-1018.90356,500,202.016634
-1099.0314,500,202.016638
-1386.4026,500,202.016642
-1054.4753,500,236.757408
-948.659,500,236.757447
-1023.4766,500,236.757454
-1118.1002,500,236.757458
-1089.8579,500,236.757462
-1002.5957,500,236.757466
-1135.1309,500,236.757469
-929.5301,500,236.757473
-1071.4465,500,270.541378
-1075.8887,500,270.541417
-1084.4369,500,270.541424
-1069.3994,500,270.541428
-959.1553,500,270.541431
-1079.2135,500,270.541435
-1163.1411,500,270.541438
-991.40826,500,270.541442
-929.7716,500,308.0352
-904.98016,500,308.035248
-1012.78314,500,308.035256
-1008.0101,500,308.03526
-1031.2607,500,308.035264
-961.41986,500,308.035269
-1126.4664,500,308.035273
-1002.7454,500,308.035276
-1000.73444,500,344.121964
-879.37555,500,344.122006
-1002.51105,500,344.122012
-994.3696,500,344.122016
-915.35895,500,344.12202
-988.5877,500,344.122024
-940.4865,500,344.122028
-1115.7245,500,344.122031
-1139.6655,500,382.108957
-907.53864,500,382.109003
-982.6182,500,382.109009
-1037.9609,500,382.109014
-929.3674,500,382.109018
-1078.9244,500,382.109022
-996.8125,500,382.109026
-957.3274,500,382.10903
-1015.9897,500,417.175828
-1026.4528,500,417.175875
-975.5412,500,417.175887
-959.4957,500,417.175892
-1098.8866,500,417.175896
-983.61084,500,417.1759
-978.33417,500,417.175904
-1051.1407,500,417.175908
-943.86835,500,454.6422
-1043.5146,500,454.642251
-1130.309,500,454.642258
-1054.6525,500,454.642264
-897.4964,500,454.642268
-974.1522,500,454.642272
-1047.2688,500,454.642276
-1101.6434,500,454.64228
-997.332,500,486.204691
-1075.6643,500,486.204736
-1037.9249,500,486.204743
-1101.6338,500,486.204747
-1045.1493,500,486.204751
-946.09674,500,486.204755
-1049.199,500,486.204759
-1102.6368,500,486.204763
-1051.6167,500,516.289752
-1079.4141,500,516.289793
-1202.4169,500,516.2898
-1077.8113,500,516.289805
-974.9709,500,516.289809
-1162.3116,500,516.289813
-1141.8956,500,516.289816
-1080.2916,500,516.28982
-1106.5006,500,549.06427
-1089.4108,500,549.064316
-1047.0415,500,549.064323
-998.40375,500,549.064327
-863.77625,500,549.064331
-897.9141,500,549.064335
-957.8479,500,549.064338
-1013.93677,500,549.064342
-1207.1304,500,582.324202
-1187.7546,500,582.324249
-1138.6279,500,582.324256
-1294.9492,500,582.32426
-1016.5725,500,582.324264
-1178.9138,500,582.324268
-1131.6432,500,582.324271
-934.28253,500,582.324275
-1131.3372,500,614.919762
-1095.1752,500,614.919806
-1217.1959,500,614.919812
-1039.9004,500,614.919816
-1117.9203,500,614.919819
-1204.8778,500,614.919823
-1193.012,500,614.919827
-1204.191,500,614.91983
-1317.1919,500,646.814777
-1255.9448,500,646.814827
-1106.6792,500,646.814834
-1208.3119,500,646.814838
-1041.8951,500,646.814842
-1292.7805,500,646.814846
-1212.6497,500,646.81485
-1144.9784,500,646.814854
-1089.1599,500,678.012628
-1076.2905,500,678.012683
-1216.3939,500,678.01269
-1010.7498,500,678.012694
-1227.0616,500,678.012698
-1400.3469,500,678.012702
-1089.037,500,678.012705
-927.4528,500,678.012708
