#{"t_start": 1784599708.9344227, "env_id": "None"}
r,l,t
-59.708347,226,11.123889
-60.2741,78,12.6259
-4.768804,500,16.508507
-38.07896,500,16.508549
6.301704,500,16.508556
-32.121864,67,18.10814
-83.771935,74,18.288025
77.78868,500,22.775356
113.10472,401,26.23315
95.92125,500,26.772053
169.48213,500,28.306583
-98.94241,465,32.508189
-47.31115,500,37.361907
86.76999,500,38.02927
-103.80516,500,39.654226
-43.89147,173,41.420382
-93.74074,231,43.091081
113.59634,500,43.940723
104.396355,500,52.069823
-56.119656,72,54.048918
82.043335,500,54.30864
-46.87938,66,55.622952
-52.681564,21,56.198382
116.663055,500,56.318448
86.2143,500,57.195273
192.65305,500,65.675046
215.11815,500,67.690373
44.45143,458,67.731702
22.326254,500,67.851015
-29.37027,73,69.712707
86.18548,500,77.075039
99.09097,410,78.232798
34.509323,500,78.580218
286.74634,500,78.716803
8.588348,198,82.511415
91.16727,441,85.939658
-66.43988,97,88.06446
180.62135,500,88.526745
97.34317,500,88.839954
-51.080826,61,89.996983
68.633965,225,92.308934
116.145584,500,92.659429
17.663773,192,93.697691
-53.857475,247,100.616961
-38.377403,228,101.397795
76.83157,500,101.478226
94.71416,500,105.358683
238.50775,500,110.460869
298.5736,500,111.169096
36.472183,500,111.240534
290.78467,500,115.897735
104.23212,378,118.914312
78.3778,500,121.78173
306.26282,500,121.85668
-20.56393,176,125.144331
148.06203,500,125.68507
123.658295,500,128.322183
231.20656,500,131.225961
115.199745,500,134.64328
219.26762,500,135.187503
132.8332,500,137.997864
206.93121,500,142.909781
311.11987,500,146.447912
164.44899,500,147.044501
300.9914,500,149.849296
214.01303,500,152.890513
275.68915,500,156.191231
202.78482,500,156.781026
242.4795,500,159.469814
229.98573,500,162.425816
138.36421,500,165.738232
347.49878,500,166.302467
-17.042221,81,167.461708
192.74142,500,169.252959
205.93985,500,172.253917
331.19476,428,175.795115
312.9006,500,176.167839
83.46016,219,176.537101
393.63678,500,178.962023
174.57524,294,184.350342
241.50975,500,187.882979
390.27863,500,188.574094
247.97116,500,191.106389
208.70955,500,194.380219
381.29926,500,197.999467
356.9507,500,198.704405
285.69662,500,201.144201
264.33527,500,204.48707
169.68585,348,205.905527
238.52306,500,208.04876
94.516754,214,208.609663
343.87436,500,211.523071
56.297623,278,211.561774
418.04337,500,218.286788
218.50969,500,218.8906
293.98392,500,221.8555
226.07185,500,221.900777
247.18217,500,230.749383
353.75204,500,231.413758
348.51514,500,234.247288
294.54822,500,234.284508
-53.8207,26,234.804322
384.12112,500,240.859775
310.96756,500,241.386662
348.52563,500,244.115759
273.1368,500,244.662029
87.528076,272,250.065098
331.0043,500,250.806915
340.91113,500,251.321071
309.37445,500,253.853047
351.51465,500,259.967499
370.7326,500,260.712384
406.2844,500,261.233324
342.6141,500,264.057374
436.13815,500,272.025113
329.14462,500,272.758454
293.45032,500,273.270438
381.6682,500,275.782519
341.16876,500,281.514474
392.01202,500,282.28609
329.76306,500,282.801171
265.5079,500,285.496046
326.01126,500,291.797213
352.93246,500,292.603137
310.89066,500,293.127248
346.3938,500,295.740366
338.50516,500,301.408637
362.9462,500,302.204667
394.6103,500,302.718826
385.7282,500,305.705012
242.04572,500,313.834361
321.01215,500,314.641342
386.18927,500,315.259887
343.39523,500,317.923274
343.76758,500,324.227384
277.28143,500,324.992296
382.08032,500,325.523268
313.27145,500,328.283346
366.14392,500,334.696523
408.11502,500,335.517369
381.266,500,336.110885
426.3417,500,338.936531
405.22705,500,345.77625
373.61777,500,346.519816
408.0045,500,347.149532
409.07773,500,351.010462
396.8649,500,357.332251
382.3583,500,360.515869
310.5829,500,361.072841
387.17236,500,363.65484
352.97134,500,369.650129
310.9995,500,370.409043
477.06433,500,370.917744
366.7216,500,373.8173
290.54492,500,379.361345
408.74933,500,380.151597
400.12372,500,380.813046
376.49606,500,383.818622
427.69122,500,389.749465
343.0117,500,390.476351
375.731,500,390.989191
330.50766,500,393.539173
387.3803,500,399.555652
482.59998,500,400.283729
358.689,500,400.793145
319.09933,500,405.881363
