#{"t_start": 1784621042.608047, "env_id": "None"}
r,l,t
-45.12709,71,5.452907
-52.024624,123,6.778192
-82.23813,198,10.144727
-133.40402,132,13.308916
-852.28784,500,15.623019
-201.11931,500,15.623059
-52.759018,156,16.992456
-42.874924,115,18.530746
-546.25934,500,18.725646
-34.537067,46,19.771025
-64.14371,173,19.866518
-24.218002,26,20.495733
-188.72418,500,28.674608
-58.912636,500,30.137877
-375.43958,500,31.295527
-457.67908,500,31.776043
-47.88241,145,33.061246
-77.30815,202,35.796053
-241.15251,500,39.963344
-150.10876,377,40.332291
-69.02137,245,41.659838
-33.371777,77,42.088526
-67.82008,500,44.947466
-102.35908,139,45.21777
-434.99738,500,53.199084
-117.61318,500,54.137289
-45.564926,72,55.616331
-213.27257,438,55.751925
-43.89144,47,56.674773
-439.956,481,56.859661
-12.5232935,58,57.882229
-52.25396,76,59.623255
-70.78773,319,59.891741
-43.261936,196,64.197004
-170.35745,379,65.244502
-125.507065,500,66.59261
-76.01012,359,67.680291
-19.335209,42,68.683734
-39.93623,46,69.691962
-62.290005,242,69.786943
-109.60597,214,70.21149
-39.99129,64,71.132809
-89.30693,228,75.969327
-114.48362,500,77.440707
-203.48792,395,78.579874
-90.33023,433,78.929354
-85.38138,201,80.162934
-82.91057,193,81.461032
-60.17922,165,81.979573
-92.11126,132,82.969752
-47.0013,240,83.844329
-39.551456,65,85.125721
-146.75923,197,86.064366
29.77512,288,87.498951
-71.75649,162,89.291744
1.2337551,109,89.614842
-31.938042,96,91.51721
-105.572556,500,92.978603
-43.79208,42,93.79971
-159.87306,500,95.124504
-72.50414,221,97.447341
-53.48948,134,98.118449
-35.912678,500,100.721133
-26.193329,266,103.210217
-56.169205,500,106.488102
-61.656906,500,107.194441
26.055984,89,108.987191
-65.23078,141,109.343121
-46.54527,500,110.573787
-34.93522,124,111.829083
-22.788248,17,112.175792
-83.15213,500,113.207003
-16.444008,91,114.302387
-119.9739,326,116.116787
-28.710356,43,117.101271
-28.013615,49,118.091699
-22.311258,21,118.513479
-61.489136,95,120.385606
-107.52636,500,121.24411
-12.622986,50,121.378298
-29.811708,49,122.216766
-17.950157,36,122.926328
-77.79904,471,123.249394
-30.324171,40,123.744764
-22.141876,39,124.584088
-110.01969,500,124.744353
-43.85803,145,126.487392
-73.9202,500,131.506844
-36.97072,376,132.185972
85.25187,296,132.244483
