#{"t_start": 1787124900.5240705, "env_id": "None"}
r,l,t
-584.17474,500,16.677638
-561.5147,500,16.677674
-584.2111,500,16.677681
-515.7612,500,16.677685
-533.6129,500,27.337991
-667.1706,500,27.338033
-612.84875,500,27.338042
-506.88593,500,27.338049
-475.56198,500,38.544479
-391.3801,500,38.54452
-436.59302,500,38.544527
-599.7501,500,38.544531
-430.10486,500,50.00501
-325.90378,500,50.005048
-540.85785,500,50.005054
-804.7369,500,50.005059
-549.58826,500,62.625044
-761.3619,500,62.625082
-611.1529,500,62.625088
-340.9989,500,62.625092
-466.9497,500,73.233565
-405.7692,500,73.233603
-388.5648,500,73.23361
-527.3429,500,73.233614
-327.469,500,83.49468
-571.5917,500,83.494718
-372.61526,500,83.494725
-664.792,500,83.49473
-345.37967,500,93.435581
-464.34286,500,93.435622
-540.22144,500,93.435629
-884.6564,500,93.435634
-152.32227,500,106.821308
-338.49472,500,106.821347
-353.6469,500,106.821354
-532.1678,500,106.821359
-302.8277,500,117.963103
-571.2884,500,117.963143
-638.4733,500,117.96315
-556.8469,500,117.963154
-398.80005,500,128.376122
-469.4714,500,128.37616
-260.31464,500,128.376166
-564.859,500,128.376171
-492.67047,500,139.301337
-370.69263,500,139.301381
-344.1174,500,139.301389
-527.7544,500,139.301394
-561.89197,500,152.165483
-491.43494,500,152.165524
-411.67612,500,152.165531
-333.21066,500,152.165536
-489.19547,500,162.121235
-592.7306,500,162.121274
-471.0409,500,162.121281
-535.4681,500,162.121284
-574.40375,500,172.546252
-408.16724,500,172.546285
-439.35162,500,172.546292
-619.6948,500,172.546297
-479.83755,500,182.549545
-346.69513,500,182.549583
-279.20517,500,182.54959
-300.53726,500,182.549594
-412.67706,500,193.772122
-382.90698,500,193.77216
-400.5267,500,193.772167
-534.0838,500,193.772171
-586.5166,500,203.646541
-401.8743,500,203.646578
-435.6592,500,203.646585
-492.76892,500,203.646589
-473.29794,500,213.351811
-358.14163,500,213.351848
-737.24493,500,213.351855
-390.62576,500,213.351859
-464.0365,500,223.812158
-511.3742,500,223.812194
-470.72992,500,223.8122
-553.909,500,223.812204
-486.25955,500,235.248745
-572.6549,500,235.248784
-491.6471,500,235.248791
-606.3713,500,235.248796
-519.202,500,245.577564
-392.44412,500,245.577601
-205.55457,500,245.577608
-300.0558,500,245.577612
-174.78586,252,251.383
-547.7496,500,256.401217
-511.827,500,256.401255
-500.35486,500,256.401262
-518.0061,500,261.254496
-211.20946,500,266.471781
-378.7727,500,266.471819
-356.56964,500,266.471825
-352.40524,500,271.553307
-469.94525,500,278.50045
-328.10608,500,278.500494
-516.2941,500,278.5005
-452.9516,500,284.02276
-220.08356,500,289.317148
-315.81607,500,289.317185
-362.0076,500,289.317192
-522.68787,500,294.303865
