#{"t_start": 1787287169.3220582, "env_id": "None"}
r,l,t
-1688.455,500,16.049871
-1999.3125,500,16.049915
-2097.2349,500,16.049922
-1858.002,500,16.049927
-2033.8866,500,26.924042
-1770.1981,500,26.924083
-1709.217,500,26.924089
-1815.4961,500,26.924093
-1956.414,500,36.944656
-1748.7993,500,36.944696
-2001.2842,500,36.944702
-2013.6471,500,36.944707
-2085.8481,500,47.482208
-1626.0886,500,47.482253
-1741.0793,500,47.48226
-1922.5067,500,47.482265
-2054.4175,500,60.97336
-1998.711,500,60.973404
-1979.2764,500,60.973412
-2114.6418,500,60.973417
-1864.3909,500,72.175157
-1949.3792,500,72.175199
-1900.4877,500,72.175205
-1614.0494,500,72.175231
-1892.0282,500,84.218987
-2375.275,500,84.219033
-2040.3226,500,84.21904
-2109.0435,500,84.219045
-1982.225,500,95.924382
-2116.877,500,95.924433
-1996.8486,500,95.92444
-1951.5555,500,95.924444
-1763.7197,500,109.426336
-2112.918,500,109.426376
-1963.5416,500,109.426382
-1989.1802,500,109.426393
-2074.1018,500,120.598764
-1672.6929,500,120.598803
-1738.7582,500,120.598809
-2130.3704,500,120.598814
-1636.8927,500,131.461704
-2042.062,500,131.46174
-1973.0819,500,131.461746
-2026.8007,500,131.461751
-1847.4409,500,141.892851
-2048.6973,500,141.892884
-1853.566,500,141.89289
-1754.0089,500,141.892895
-1882.3417,500,154.056331
-1591.9926,500,154.056376
-1819.1722,500,154.056388
-1831.9739,500,154.056394
-1858.9628,500,166.17493
-1877.6261,500,166.174972
-1629.5923,500,166.174978
-1904.1014,500,166.174983
-1811.2037,500,177.401878
-1835.1383,500,177.40192
-1826.2977,500,177.401927
-1988.035,500,177.401931
-1715.5865,500,188.646684
-1847.7761,500,188.646724
-1998.345,500,188.646731
-1767.9247,500,188.646735
-1936.5616,500,201.901395
-2018.9863,500,201.901437
-2022.1902,500,201.901443
-1647.2084,500,201.901448
-2220.9075,500,212.321747
-1768.9847,500,212.321785
-1761.1304,500,212.321791
-1897.3517,500,212.321795
-1715.1216,500,222.810443
-2062.151,500,222.81048
-2176.5796,500,222.810487
-1988.0979,500,222.810491
-2039.6243,500,234.595804
-1942.0414,500,234.595842
-1824.377,500,234.595849
-1828.6255,500,234.595853
-2199.3494,500,246.261505
-1684.9868,500,246.261548
-1829.5087,500,246.261554
-1713.3923,500,246.261559
-1863.0808,500,257.577199
-1949.3248,500,257.577246
-1701.417,500,257.577253
-1608.6011,500,257.577257
-2014.3624,500,268.555749
-1889.98,500,268.555793
-1943.6216,500,268.555799
-1691.6964,500,268.555803
-2033.81,500,279.784403
-1783.2446,500,279.784436
-1895.85,500,279.784443
-1823.2896,500,279.784447
-1799.1079,500,293.890739
-1886.3502,500,293.890781
-1282.5381,500,293.890788
-1732.9346,500,293.890791
-1507.5786,500,304.975652
-1761.53,500,304.975689
-1799.6759,500,304.975696
-1924.1366,500,304.9757
-1568.5687,500,316.383818
-1923.2885,500,316.383865
-1556.1129,500,316.383871
-2032.8385,500,316.383875
-1809.5448,500,327.919841
-1827.4126,500,327.919888
-1866.367,500,327.919894
-1837.3165,500,327.919898
-1911.5592,500,340.98175
-1999.3641,500,340.981797
-1804.4136,500,340.981805
-2050.4014,500,340.981809
-1973.2351,500,351.786258
-1661.0498,500,351.7863
-1638.7386,500,351.786307
-1923.7327,500,351.786312
-1568.19,500,363.33602
-1863.3552,500,363.336061
-1550.568,500,363.336068
-1337.2714,500,363.336073
-1612.7156,500,374.627329
-1917.796,500,374.627364
-1783.473,500,374.62737
-1777.1602,500,374.627374
1874.9425,352,382.822706
-1950.8486,500,387.87431
-1653.612,500,387.874352
-1651.343,500,387.874358
-1655.7661,500,394.932374
-1687.4347,500,398.396339
-1725.8683,500,398.396377
-2012.5704,500,398.396387
-2047.5885,500,405.676259
-1609.7046,500,409.035624
-1762.4296,500,409.035661
-1975.9556,500,409.035668
-1665.5316,500,416.571837
-1990.5518,500,419.550182
-1888.9368,500,419.550219
-1977.2468,500,419.550225
-1752.6423,500,426.825529
-1926.3695,500,431.520854
-1720.4723,500,431.520892
-1925.3634,500,431.520899
-1765.688,500,439.450821
-1868.8486,500,442.428522
-2149.8413,500,442.428565
-1998.393,500,442.428571
-2079.1553,500,449.969741
-1843.2302,500,452.897638
-1897.7975,500,452.897673
-1847.191,500,452.897679
-1965.1584,500,459.879007
-1637.5836,500,463.406867
-1841.2761,500,463.406905
-1591.0184,500,463.406912
-1983.3292,500,501.367618
-1934.2437,500,507.159879
-1850.7251,500,507.15992
-2196.1038,500,507.159926
-1955.3287,500,515.10665
-1965.754,500,518.36456
-1920.4918,500,518.364598
-1720.977,500,518.364605
-1882.1912,500,526.144291
-2001.5483,500,529.171431
-1574.4253,500,529.171467
-1747.5381,500,529.171473
-1939.2788,500,536.030328
-1854.8151,500,539.191716
-1850.2482,500,539.191755
-1931.6953,500,539.191761
-1763.2952,500,546.320251
-1797.0493,500,549.558094
