#{"t_start": 1785726370.3549056, "env_id": "None"}
r,l,t
-74.03781,228,10.870981
-82.69583,356,14.448506
-94.37279,490,18.158071
-44.319305,500,18.447682
-65.06331,288,18.918141
-57.59203,87,21.336073
-59.75291,108,21.490116
-56.384026,61,22.990853
-59.345573,97,25.720886
-28.31425,500,28.270972
-62.12812,123,29.093411
-81.61405,345,31.067245
-56.172077,500,32.217527
-52.776173,29,33.080599
-69.6622,211,37.226254
-74.07239,323,42.230561
-34.77642,500,42.623488
-40.90836,500,43.449052
-53.956085,36,44.537612
-74.54275,295,45.624828
-66.493416,176,47.705486
-64.93362,243,49.190324
-57.67846,86,50.161253
-74.71431,259,51.878477
-71.34339,236,52.351688
-59.721966,107,55.330526
-70.37439,202,55.887462
-56.6065,82,58.132633
-76.39949,296,60.230924
-46.32965,500,65.60281
-52.26137,500,71.80023
-46.932415,500,74.606013
-44.83488,500,76.670669
-44.3293,500,79.786705
-41.457718,500,85.858946
-43.045734,500,88.712679
-54.123882,500,90.661831
-39.953983,500,93.865996
-46.42553,500,100.020612
-53.96274,500,102.854871
-42.01909,500,104.941149
-36.26049,500,108.02597
-48.680447,500,114.08116
-72.31001,409,116.481271
-36.328346,500,116.9825
-28.028528,500,122.273524
-38.72035,500,130.609229
-35.987995,500,133.042762
-53.705708,500,133.547507
-39.628845,500,138.987828
-52.895103,500,145.214031
-55.48637,500,147.707065
-46.549614,500,148.24026
-40.680244,500,153.564473
-56.868763,500,159.896578
-36.01398,500,162.314395
-53.575325,500,162.82734
-57.11674,67,164.258535
-49.54791,500,168.162375
-42.5382,500,174.628856
-43.84871,500,177.543934
3788.3757,500,178.912924
-40.92985,500,182.839109
-47.413795,500,191.485971
-49.565468,500,194.309443
-44.39624,500,195.670429
-57.076332,97,198.39196
-61.13131,176,199.288103
-29.646221,500,199.513767
-42.9559,500,205.808977
-45.484646,500,212.77463
-51.69664,500,213.703259
-35.510822,500,213.935917
-50.86435,500,220.176698
-46.216812,500,227.310492
-50.52376,500,228.234354
-36.221786,500,228.445105
-44.863533,500,234.499447
-34.295128,500,241.577202
-41.580196,500,242.42718
-48.306637,500,242.667619
-58.6556,125,248.620286
-47.58975,500,251.270344
-30.193504,500,258.178566
-36.885113,500,259.074054
-42.995502,500,262.742558
-43.25731,500,265.34075
-30.48459,500,272.402275
-27.0944,500,273.32059
-52.53898,500,277.172052
-44.94832,500,279.72943
-77.43007,398,284.763909
-29.158705,500,286.903404
