#{"t_start": 1784869969.620808, "env_id": "None"}
r,l,t
-51.647057,93,7.357539
-52.81947,149,8.972161
-55.901787,228,11.122573
-50.550606,26,11.863026
-56.452312,369,17.702783
-63.317886,486,18.402786
-50.604694,95,20.453951
-55.504986,380,22.603675
-3.9442673,500,23.029902
-50.136078,32,23.983566
-51.011673,65,24.507446
-53.19952,167,29.310815
-54.303368,278,31.879675
-11.931481,500,32.765725
-50.677578,30,33.64039
-53.449295,165,34.092261
-3.0503476,500,34.818998
-53.83814,217,41.081563
-51.650238,118,44.512608
-8.010179,500,46.399978
2.848411,500,48.015031
-13.830009,500,48.490308
-50.284122,19,48.642637
-53.04429,137,50.514282
-59.040844,262,52.179847
-52.562855,130,52.520633
-51.12415,49,53.660982
-52.273922,125,54.184395
-50.639565,34,55.302116
-50.993286,67,55.744437
-51.509212,109,58.302315
-5.2823215,500,63.047104
11.05846,500,69.019912
-8.97626,500,71.992941
11.58359,500,74.739493
-14.23126,500,79.51233
-14.809867,500,83.346469
-15.762802,500,86.382478
-9.927485,500,89.095926
-10.437069,500,93.72926
-15.521851,500,97.587006
-54.007202,228,100.213485
-7.454777,500,100.546205
-9.512014,500,103.215708
-6.3766284,500,111.640942
2.4697404,500,114.246642
-6.3380885,500,114.563488
-11.550238,500,117.279378
3.7057316,500,128.061927
-7.586723,500,130.678203
-5.2624283,500,131.015779
-7.3630047,500,133.678644
3.507994,500,142.20138
-47.69912,419,142.812496
0.19780515,500,144.796751
-4.3851547,500,147.691876
-52.602627,135,148.580359
7.6014566,500,156.261425
-19.737997,500,156.961291
-10.761679,500,161.904919
-1.1617182,500,162.733495
3.7834568,500,170.204583
-55.67811,293,170.887399
2.2467513,500,170.970644
-1.6250466,500,176.009452
-17.919857,500,186.814749
-49.919395,498,187.397595
-10.202864,500,187.52192
-9.440432,500,192.443342
14.392899,500,200.856546
-12.048757,500,201.433393
-4.488129,500,201.565187
-1.6696316,500,206.588003
0.211813,500,215.117982
-12.545694,500,215.679749
14.051933,500,215.801382
-8.646631,500,220.725437
-10.913845,500,229.307592
-58.486996,478,229.379568
-9.619157,500,229.943143
-2.6954777,500,234.939159
-13.500275,500,243.265468
-13.008531,500,243.346644
-6.247043,500,243.858013
-13.5866,500,251.200639
7.2338133,500,259.904722
-14.090479,500,259.978124
-10.487806,500,260.521553
-4.883433,500,265.505736
1.1737759,500,273.994265
3.8526406,500,274.066646
-7.903091,500,274.648336
-4.986135,500,279.697123
-8.627436,500,288.084579
-9.838757,500,288.163728
-0.4217556,500,288.692358
-13.206271,500,293.611682
3.827788,500,302.213329
6.249387,500,302.299932
-8.818976,500,302.773315
-4.842024,500,310.301753
17.912973,500,318.645574
-6.710084,500,318.716771
11.369035,500,319.214298
11.3874655,500,324.200333
-42.887802,390,330.063879
7.5158916,500,332.523455
4.8790107,500,332.597665
20.481195,500,338.098843
3.6333542,500,344.066788
-5.9809556,500,346.566524
10.576044,500,346.644458
20.04837,500,352.138515
10.316321,500,358.142875
11.651132,500,360.686787
6.8273706,500,360.754201
16.253311,500,368.675166
1.2965232,500,374.650619
22.202705,500,377.225273
6.9311433,500,377.309729
26.015593,500,382.802857
18.749983,500,388.624754
15.987534,500,391.081582
16.769802,500,391.166944
23.086523,500,396.621624
9.432232,500,402.557969
-1.0746175,500,405.08032
3.976489,500,405.152004
-3.127239,500,410.640047
22.814867,500,416.65605
6.344757,500,419.126041
14.727891,500,419.208932
19.814396,500,426.676928
-40.221672,432,430.711123
21.062973,500,435.125715
25.416815,500,435.203985
24.79224,500,440.70707
22.158403,500,444.574639
24.592852,500,449.029231
18.95248,500,449.103014
11.864586,500,454.803714
26.82528,500,458.791525
21.433523,500,463.237008
18.474792,500,463.311331
12.250524,500,468.824401
25.5746,500,472.814393
26.362005,500,477.233808
30.959095,500,477.311245
25.905645,500,482.90245
-30.638912,382,485.767271
15.197949,500,493.618082
26.996265,500,493.696104
32.133633,500,499.19987
28.595505,500,499.908498
28.551025,500,507.713542
31.319471,500,507.789212
29.742393,500,513.226196
28.778297,500,513.999412
29.609144,500,521.717324
31.615694,500,521.788112
31.05193,500,527.25651
31.393253,500,527.966293
29.265736,500,535.623043
33.570717,500,535.705745
26.83922,500,541.33248
26.074053,500,542.122832
26.177816,500,553.256181
29.589598,500,553.333877
32.00805,500,558.839756
31.412025,500,559.538006
32.218784,500,567.206402
34.228317,500,567.282225
31.65932,500,572.715864
31.620049,500,573.433411
31.782167,500,581.194405
34.885616,500,581.271302
31.40217,500,586.724228
33.551453,500,587.493469
32.71294,500,636.248693
33.461037,500,636.332252
34.150227,500,641.713314
28.310947,500,642.438476
34.509712,500,652.398262
35.298084,500,652.485144
34.896103,500,658.07039
33.871807,500,658.779361
34.738224,500,666.496716
33.163498,500,666.574707
34.947247,500,672.072558
34.260963,500,672.838244
36.02108,500,680.589584
34.27602,500,680.664625
35.130016,500,686.247437
32.881527,500,686.97981
30.90353,500,694.713921
34.33661,500,694.789444
31.115007,500,700.399132
35.93233,500,701.128187
31.251535,500,710.945702
35.36721,500,711.019425
33.627003,500,716.684761
33.626423,500,717.413331
-29.366207,288,719.352531
-17.516464,496,724.947908
-28.72393,349,726.439232
-21.999086,387,730.095611
-40.670883,152,730.729899
-14.527412,495,731.333155
-27.4377,298,733.48501
-36.43701,206,736.65445
-35.69979,238,738.149966
-30.85642,290,741.633602
-17.660366,441,742.596524
-34.990776,216,744.22955
-29.558762,288,750.909954
32.66629,500,750.910006
-30.695917,309,753.11667
30.717285,500,756.00388
-34.193787,240,760.027942
-30.752737,334,760.606431
-27.731955,334,760.606497
-28.721645,322,765.337411
-35.02089,212,768.771449
35.49556,500,776.331436
32.629536,500,776.856518
35.106335,500,781.536819
34.233315,500,782.831623
34.765816,500,790.509506
32.521873,500,791.04307
28.399519,500,795.909899
34.133736,500,797.264767
29.695189,500,805.000244
36.48973,500,805.514735
36.69143,500,810.145435
32.34086,500,811.524687
32.75054,500,819.29015
35.67865,500,819.863081
34.521202,500,824.598765
35.138123,500,825.892153
33.809776,500,835.657577
35.151627,500,836.247909
34.01467,500,840.954043
35.96697,500,842.329175
33.982468,500,849.808817
32.759506,500,850.297651
32.62385,500,855.03895
36.169228,500,856.341766
31.913473,500,863.720347
33.56369,500,864.209101
33.871178,500,869.018785
34.309067,500,870.310777
32.592815,500,878.084875
34.74156,500,878.579242
29.129843,500,883.276019
28.407146,500,884.560137
34.57786,500,894.234931
34.30511,500,894.750223
31.568878,500,899.453639
31.095016,500,900.828317
32.91215,500,908.608741
29.936176,500,909.103862
34.409325,500,913.703063
33.28638,500,915.029955
29.777607,500,922.703655
35.074265,500,923.217458
34.437733,500,927.891984
35.60504,500,929.182212
33.987255,500,936.854606
30.360918,500,937.364174
33.86366,500,942.002485
34.181107,500,943.311534
31.91863,500,952.911813
34.775555,500,953.435071
35.789185,500,958.087838
36.697464,500,959.466807
33.4416,500,967.054595
34.211323,500,967.570249
36.51997,500,972.314167
35.816456,500,973.605633
36.907978,500,981.289593
36.79785,500,981.80344
37.147064,500,986.499298
37.076096,500,987.901021
35.480606,500,995.4345
34.337162,500,995.976145
33.67127,500,1000.694206
35.215908,500,1002.055242
35.078674,500,1012.15137
31.030231,500,1012.652032
36.756172,500,1017.323828
36.147705,500,1018.632385
38.484535,500,1026.282031
35.75337,500,1026.802988
37.38072,500,1031.498738
38.648754,500,1032.787053
-35.856705,199,1038.391554
38.831738,500,1040.487405
34.922424,500,1041.019132
33.979744,500,1045.735936
37.82096,500,1052.689286
36.120182,500,1054.667627
33.390297,500,1055.171734
37.554867,500,1059.704092
34.51922,500,1066.640594
38.28858,500,1070.934544
35.85788,500,1071.438442
-14.989464,468,1075.192283
35.090286,500,1083.186383
37.290268,500,1085.136471
37.743904,500,1085.652418
34.25198,500,1089.288636
35.876873,500,1096.973478
36.764606,500,1098.971036
35.684097,500,1099.482494
35.266502,500,1103.228844
37.447556,500,1110.879541
34.862583,500,1112.88256
34.334415,500,1113.421854
33.01724,500,1117.101428
38.467045,500,1124.891408
37.477123,500,1129.031062
37.929836,500,1129.612946
35.51871,500,1133.429753
37.007957,500,1141.133317
37.780872,500,1143.181072
34.89706,500,1143.698959
34.895744,500,1147.432748
-41.894485,127,1151.011282
34.505028,500,1155.209564
