#{"t_start": 1784617009.6591253, "env_id": "None"}
r,l,t
-92.29078,164,8.199403
-169.36934,273,10.58773
-562.1858,500,15.354237
-545.5675,500,15.354279
-170.60513,500,19.153843
-156.7544,187,19.753013
-509.6937,500,21.915849
-68.17997,88,21.98363
-57.291355,88,24.159387
-70.839905,105,24.48991
-33.854176,82,26.475042
-750.99036,500,27.407719
-78.59957,108,29.813079
-506.16415,500,31.002028
-292.12427,304,31.078713
-67.07884,90,32.995614
-146.72784,191,35.009351
-267.8827,183,36.576297
-394.6972,500,37.140924
-402.8597,371,37.561058
-15.585555,20,37.612441
366.26593,171,41.810366
-125.95504,190,42.278892
-213.66782,259,43.010653
-161.00371,139,45.165246
-24.054077,38,46.062506
-314.20926,500,46.643064
-117.8599,93,47.932343
-53.734024,71,48.100536
-186.70483,308,49.153314
-93.85357,171,54.892993
-114.73753,220,54.928438
-156.21132,251,55.427082
-12.376003,13,55.692439
-656.03125,500,55.92972
-37.298653,53,56.886863
-86.47514,173,58.598582
-62.124477,84,60.262114
-408.90396,305,62.349722
-21.00875,36,63.296493
-97.96151,182,64.315071
-252.34773,500,65.654046
-219.88828,413,65.712415
-85.3735,131,66.053879
-33.28508,42,66.565743
-70.16154,115,66.777976
-112.45283,123,68.614695
-144.6424,176,69.431544
-25.21003,36,70.439677
-127.84811,160,70.493252
-126.57115,154,72.340216
-130.70195,268,72.670445
-113.33301,205,75.01646
-147.1606,144,75.973586
-42.273136,65,76.624019
-111.551636,134,79.004994
-90.09961,113,79.119382
-18.717607,25,79.616534
-279.63208,328,79.713572
-297.04453,500,81.4402
-43.307835,95,81.500824
-50.16096,49,82.478762
-181.1917,188,82.815001
-69.920135,86,83.42064
-76.33997,179,83.483585
-25.845783,58,83.827889
-41.037403,69,84.810816
-75.68631,125,85.4716
-113.879456,166,86.86732
-108.599,135,88.221988
-60.818295,116,89.151423
-67.14175,109,90.367572
-190.99127,278,90.404613
-30.366133,79,90.74393
-37.095413,51,91.793197
-59.78903,116,92.748967
-306.77805,451,92.923634
-61.300728,141,93.288455
