#{"t_start": 1784615130.4463263, "env_id": "None"}
r,l,t
-38.11975,63,5.299929
-145.60089,190,8.350284
-70.450615,261,9.955953
-72.58004,117,12.575891
-174.51717,500,15.411508
-64.14588,500,16.869006
-828.27405,500,19.727378
-126.80655,229,20.57474
-14.573694,82,21.796352
-173.58846,500,24.109323
-53.034798,184,24.811923
-102.08838,175,25.492853
-232.97987,497,28.418478
-36.523254,81,30.397413
-22.183697,38,31.2333
-127.84385,282,31.586745
-34.284866,77,32.961599
-866.84235,500,35.455314
-382.505,500,36.823047
-429.14218,500,41.773494
-629.11456,500,42.97018
-260.03696,311,43.026717
-377.1338,440,44.292206
-22.288567,79,44.728693
-19.538485,29,44.941327
-10.404404,51,45.983615
-44.776756,180,51.34884
-140.76549,370,52.956827
-131.67468,92,53.694445
-333.16147,500,54.412434
-13.597019,22,54.856788
-54.009644,70,55.125661
-10.785856,20,55.278269
-31.179394,211,57.281165
-698.7099,500,57.489517
-90.36312,129,57.739764
-15.103101,22,58.206916
-81.538635,205,59.455442
-39.64308,135,60.279273
-29.818266,112,60.517888
-18.16042,66,60.83704
-21.30607,65,61.871955
-25.807821,32,62.513539
-41.6712,122,62.806908
9.623616,61,64.014638
-428.85535,500,67.953618
-179.9689,202,68.722826
-90.24714,500,72.242017
-50.91081,240,73.69975
-370.8378,500,74.024047
-53.579742,87,74.170356
-5.5248866,9,74.283671
-0.66516423,73,75.853084
-15.376892,347,76.841472
-14.673199,19,77.334529
-105.576546,131,78.974675
-81.018036,218,79.202516
-25.078377,70,80.640044
-98.7782,169,81.045613
-84.02757,135,81.786607
-39.63158,72,82.751131
-16.287376,46,83.106102
-37.922,116,83.518004
-32.81038,85,85.146
-158.62239,492,85.405112
-28.87117,83,86.965119
-73.574104,161,87.042761
-35.793198,154,88.65336
-104.09837,228,88.75607
-39.924778,90,88.940959
-18.276318,31,89.577134
-48.20211,180,90.71682
-35.102486,95,91.5425
-46.520493,144,91.777903
-23.713198,62,92.052744
-110.48255,271,94.223365
-3.5155284,161,94.798641
-89.773605,157,94.934521
-66.23151,207,96.182992
-24.484447,73,96.282051
