#{"t_start": 1784612161.3118584, "env_id": "None"}
r,l,t
664.05176,500,16.038537
286.8711,500,16.038581
271.6831,500,16.038588
369.9094,500,16.038592
351.20868,500,26.308133
602.60504,500,26.308171
360.56964,500,26.308177
418.54404,500,26.308182
84.436226,67,27.698139
310.87076,500,36.573493
372.23053,500,36.573535
331.49255,500,36.573542
419.52505,500,37.962603
272.22836,500,46.624309
379.0567,500,46.624348
337.2223,500,46.624355
291.93115,500,49.687341
250.75803,391,56.748679
329.62427,500,58.948298
454.86032,500,58.948337
524.8563,500,60.269226
372.27014,500,66.750499
686.6726,500,68.931915
728.74207,500,68.931951
376.79697,500,70.220672
305.4895,370,76.57094
404.77026,500,77.120945
547.5142,500,79.379035
308.74008,500,80.739194
449.49677,500,87.160836
394.26492,500,87.578297
457.5715,500,89.792352
580.4445,500,91.117835
431.64792,500,99.438715
391.7178,500,99.939501
353.46347,500,102.531331
672.8224,500,103.907643
269.9852,500,111.543351
357.37326,500,112.126663
502.82962,500,114.396678
333.10565,500,115.709427
653.5686,500,121.768814
537.65955,500,122.211996
310.4352,500,124.50816
645.0215,500,125.950032
628.68976,500,131.796257
342.81628,500,132.223621
290.32623,500,134.406032
408.16397,500,135.72589
439.5691,500,143.091278
633.6647,500,143.505667
346.55234,500,145.706674
698.43756,500,147.070093
354.70703,500,153.039345
450.52866,500,153.462319
354.90137,500,155.565944
349.0556,500,157.007581
373.51678,500,162.964198
410.75665,500,163.458151
399.27856,500,165.567903
111.61724,500,166.88659
656.47485,441,171.549169
385.15445,500,173.147182
377.25162,500,175.434619
324.0101,500,176.754799
363.44168,500,183.057514
289.0479,500,184.794099
327.84982,500,187.727279
372.56442,500,189.53152
411.51038,500,194.998203
543.8879,500,196.711034
368.41092,500,198.97365
400.31302,500,200.454004
165.46829,243,204.005043
332.4422,500,205.657532
376.2885,500,207.184299
307.54294,500,210.525499
472.80963,500,213.895386
349.89536,500,215.254916
434.7853,500,216.805899
366.08383,500,220.260649
263.59796,386,222.857208
379.0626,500,225.312494
82.733574,68,225.761739
482.62387,500,228.177844
380.22507,500,231.572349
360.01706,500,235.20347
397.18933,500,235.740021
367.34708,500,238.764133
741.47943,500,242.423805
414.01688,500,245.983799
563.3814,500,246.420062
318.03955,500,248.925807
888.3816,500,252.400567
646.25104,500,256.227359
367.77704,500,256.715751
484.06476,500,259.183158
459.0333,500,262.703458
469.14404,500,266.068899
393.78107,500,266.507025
413.351,500,270.606373
435.1652,500,274.07084
470.24966,500,277.619259
425.96683,500,278.089594
333.39804,500,280.53533
647.03613,500,283.944052
335.62564,500,287.342371
580.53723,500,287.786322
591.922,500,290.382951
372.5514,500,293.861738
402.86417,500,297.377776
545.88464,500,297.81243
365.13052,500,300.226916
142.15678,206,301.364567
610.4447,500,303.715049
414.69614,500,307.495619
185.76466,448,310.512127
364.3987,500,312.606935
601.7042,500,314.96002
325.53232,500,319.115234
740.0127,500,320.581198
506.80832,500,322.826575
123.648834,184,322.826611
769.3831,500,325.213903
401.12112,500,330.711994
692.42773,500,332.950874
470.2143,500,332.950906
387.39072,500,335.57233
364.20938,500,341.684736
488.6046,500,343.836348
920.998,500,343.836384
128.52731,179,345.416577
447.55225,500,346.690871
373.981,500,356.608482
396.5005,500,356.608524
400.47925,500,358.137517
480.7365,500,359.333201
118.7233,141,359.840456
296.58682,500,366.920288
420.15744,500,368.327259
853.1862,500,369.280715
367.79218,500,369.736026
461.75476,386,374.788555
348.7503,500,378.545073
381.27673,500,379.500756
393.00113,500,380.109128
241.13243,260,380.23597
140.21019,182,383.756192
378.04138,500,389.241512
377.76483,500,390.72764
496.622,500,390.84209
411.31042,500,393.831523
457.1629,372,400.65582
426.0573,500,401.819335
403.35468,500,403.347787
434.2486,500,406.322127
384.33954,500,410.452716
483.2812,500,411.533188
664.2738,500,413.008272
495.3784,500,416.002862
320.67993,500,420.164607
480.77243,500,421.272581
362.36145,500,422.796695
512.1075,500,425.764025
289.3428,327,429.137148
391.0048,500,429.927043
492.6245,500,456.24471
461.63654,500,462.233869
415.1298,500,465.680179
713.7943,500,466.46856
514.331,500,470.048229
398.07565,500,474.564919
551.20667,500,477.929138
365.5242,500,478.750537
410.06802,500,479.912737
10.361334,30,480.510764
174.49089,90,480.604516
693.3206,500,484.500909
668.64,500,488.018901
492.81287,418,488.877178
355.71988,500,490.581384
481.0512,500,494.60672
478.33008,500,497.887256
891.07324,500,498.75018
692.5249,500,500.531365
612.5412,500,505.25974
347.99823,500,508.629565
369.33713,500,509.517058
427.27997,500,512.764756
395.5484,500,517.654591
404.2878,500,521.235274
597.1013,500,522.118383
331.9755,500,523.891881
550.17554,500,527.769064
625.9512,500,531.199835
1009.0213,500,532.064771
684.73914,500,533.73298
571.2608,500,537.607924
326.3978,500,540.969206
224.84476,500,541.986224
532.8303,500,544.226009
343.264,500,548.867833
157.67943,500,552.456155
411.38303,500,553.351252
608.6313,500,555.357841
616.01245,495,562.016889
903.3239,500,565.678384
441.64746,500,566.531664
277.8555,299,568.020889
392.7231,500,568.213223
762.509,500,575.512099
725.93695,500,576.37349
503.4433,500,577.942753
866.14703,500,578.141287
634.40674,500,586.169061
664.40735,500,587.249557
484.9513,500,588.958898
389.0855,500,589.160345
104.94714,165,590.951748
402.72485,298,595.69065
298.58347,500,597.120158
357.7466,500,599.61142
303.97726,500,603.137587
614.7299,500,607.822985
797.77423,500,609.484923
709.99603,500,612.284219
325.30807,500,614.365834
639.691,500,619.024767
663.55743,500,620.667619
411.96234,405,621.212718
845.2318,500,624.946688
617.1646,500,629.968586
818.9814,500,631.482309
361.13297,500,632.00857
302.96155,500,636.517512
526.86664,299,638.80457
355.54514,500,640.95374
695.81824,500,642.352827
710.1459,500,646.89423
338.33057,500,650.946541
543.6801,500,653.118556
504.13046,500,654.639072
310.59137,500,658.924571
595.98895,500,661.255291
429.90906,500,663.351741
388.25827,500,664.922238
399.05795,271,667.124257
363.18332,500,669.540352
190.83737,153,672.759819
453.2322,500,674.309964
755.052,500,676.065454
633.34033,500,678.097397
521.8322,500,683.468756
388.11063,500,684.904315
332.96332,500,687.036525
864.60364,500,688.998236
491.09674,500,697.030676
236.22472,500,698.363443
921.32526,500,699.907871
505.96384,500,701.977633
565.68115,500,707.326924
809.03516,500,708.662267
528.80347,500,710.102171
395.88928,500,712.242942
647.9996,500,718.492881
394.70496,500,720.084005
627.23706,500,721.605206
892.8092,500,723.685798
370.30972,500,728.975938
871.7925,500,730.268202
412.55154,500,731.645653
754.7376,500,733.499147
363.1398,500,740.751986
709.5804,500,742.436688
396.95108,500,744.020642
75.28876,87,744.326962
478.29013,500,745.880884
386.37842,500,751.068346
675.31287,500,753.928388
850.1037,500,754.296083
358.71558,500,755.910839
1073.9266,500,761.308123
522.65936,500,764.09429
422.3188,500,764.397855
442.0278,500,766.072222
210.57953,98,768.081294
968.20483,500,771.546308
1007.5147,500,774.344782
415.4753,500,774.695831
508.8081,500,778.234192
601.7582,500,781.503522
427.67575,500,785.767989
403.44568,500,786.091228
371.43564,500,789.78442
332.04126,408,791.238574
778.8415,500,795.644393
364.0628,500,795.955781
417.13416,500,799.604123
1076.4354,500,801.139231
420.36118,500,805.570499
498.69974,500,805.874812
353.5667,279,806.609315
359.27246,500,809.45962
213.62833,243,810.415563
415.29205,500,815.963162
510.75806,500,816.620037
353.65262,500,819.600164
406.72482,500,820.715621
882.3428,500,827.974648
466.77438,500,828.839906
375.9347,500,832.195428
383.06482,500,833.290378
857.4069,500,839.249188
539.44775,500,840.003208
869.18195,500,843.514457
814.6663,500,844.516166
805.3743,500,849.904006
863.93835,500,850.580713
673.41034,500,853.719774
396.65326,500,854.807801
210.81139,142,856.983271
457.676,500,861.240199
390.8379,500,861.969859
397.3486,500,865.934232
838.48016,500,867.93265
530.2378,500,873.450166
-144.82765,500,874.224809
61.664406,101,875.7834
631.335,500,878.595868
514.575,500,880.813174
352.76154,500,885.413369
559.52924,500,886.788627
367.42334,500,890.152245
925.1341,500,892.075938
612.0444,500,896.753648
451.4643,500,925.914596
403.32828,500,928.495878
393.26974,500,930.385772
416.66736,500,935.563185
391.1521,500,937.005843
445.9428,500,939.645654
639.00446,500,941.663673
758.25525,500,947.883398
549.8843,500,949.519016
729.825,500,952.512644
591.33307,500,954.698649
437.38806,500,959.506889
903.70703,500,960.909073
845.93195,500,963.449864
571.54675,500,965.402223
139.43196,104,965.70661
313.8738,401,967.96162
519.7535,500,971.763002
612.52606,500,976.911846
827.6922,500,977.141119
532.24097,500,979.276699
910.02966,500,982.973293
136.47551,105,985.017851
909.3855,500,987.364224
560.53674,500,987.630564
428.30643,500,989.957925
379.8993,500,998.454977
801.96545,500,1000.786316
903.1995,500,1001.016814
937.205,500,1003.088501
544.8848,500,1009.901264
979.2434,500,1012.519189
381.43625,500,1012.856615
187.20859,97,1014.860602
913.9778,500,1014.989128
922.572,500,1020.375059
894.338,500,1022.9019
563.73334,500,1025.182142
708.0106,500,1025.314857
293.54407,166,1028.640547
652.89777,500,1031.071454
355.336,500,1033.395971
513.87744,500,1036.062449
838.41736,500,1039.847695
760.218,500,1043.85644
260.02597,338,1045.337356
394.79678,500,1046.295851
545.2931,500,1051.927073
680.21155,423,1052.663923
912.4661,500,1055.536439
534.4755,500,1056.50348
808.273,500,1061.969114
796.6759,500,1062.70341
500.5023,500,1065.741093
992.7197,500,1066.818215
386.18008,500,1072.136333
386.59756,500,1072.811066
407.1035,500,1076.552995
447.36047,500,1077.643223
427.14645,500,1083.574217
547.5517,500,1084.234067
891.547,500,1088.541903
659.70917,500,1089.482924
858.32544,500,1095.127601
882.90314,500,1095.838486
397.7843,500,1098.683916
840.26227,500,1099.704154
675.36755,500,1104.970022
736.73486,500,1105.633888
571.9641,500,1108.597894
471.41287,500,1109.523492
811.9451,500,1115.014404
378.51865,500,1115.7457
726.98126,500,1118.781229
442.45734,500,1119.870083
576.9754,500,1126.684713
787.0611,500,1127.471812
785.8815,500,1132.373039
393.3839,500,1133.592355
354.7475,268,1135.568726
703.63434,424,1138.691103
513.63904,500,1144.679306
427.48495,500,1145.675894
612.3804,440,1146.012389
956.3194,500,1150.244395
616.3148,500,1155.472127
498.61404,500,1156.547981
856.5894,500,1157.003654
329.76105,500,1160.77852
454.46658,500,1166.383389
711.483,500,1167.32465
468.9021,500,1167.648428
37.806137,73,1168.783386
603.09436,500,1171.240212
