#{"t_start": 1788256204.2114985, "env_id": "None"}
r,l,t
-974.5299,500,27.576225
-1012.9902,500,27.576365
-894.1668,500,27.576375
-1008.927,500,27.576381
-933.57886,500,27.576385
-798.4201,500,27.576391
-864.53156,500,27.576395
-1213.3157,500,27.576399
-987.58514,500,27.576403
-925.25397,500,27.576407
-1025.4254,500,27.576411
-876.27936,500,27.576415
-1015.1665,500,27.576419
-936.79926,500,27.576423
-902.0917,500,27.576427
-1040.7035,500,27.576431
-1192.019,500,36.887275
-1012.8937,500,36.887323
-1048.8085,500,36.887331
-855.4126,500,36.887337
-913.4312,500,36.887342
-932.36346,500,36.887355
-929.5616,500,36.88736
-1029.6537,500,36.887364
-966.5167,500,36.887369
-976.73737,500,36.887374
-1057.8373,500,36.887379
-1187.1962,500,36.887385
-889.47705,500,36.887389
-817.2868,500,36.887394
-888.3901,500,36.887399
-1026.0143,500,36.887404
-1038.9888,500,46.03018
-1026.4244,500,46.030233
-920.5261,500,46.030241
-1020.7749,500,46.030247
-887.62537,500,46.030252
-867.1613,500,46.030257
-984.6981,500,46.030262
-859.7854,500,46.030267
-1145.6761,500,46.030271
-991.3616,500,46.030277
-965.41235,500,46.030282
-854.5425,500,46.030289
-960.21765,500,46.030293
-1050.2405,500,46.030298
-1133.394,500,46.030303
-894.87146,500,46.030308
-1149.2489,500,55.150468
-990.30914,500,55.150534
-922.129,500,55.150551
-904.4415,500,55.150563
-1012.37714,500,55.150573
-865.5873,500,55.150584
-921.6955,500,55.150594
-912.98004,500,55.150604
-1068.1299,500,55.150614
-946.07166,500,55.150625
-1125.712,500,55.150635
-964.88275,500,55.150645
-808.9153,500,55.150655
-981.13794,500,55.150668
-881.69543,500,55.150677
-1062.6255,500,55.150686
-918.7576,500,72.797337
-1011.9037,500,72.797423
-977.5837,500,72.79744
-986.9846,500,72.797452
-920.0059,500,72.797464
-1000.2668,500,72.797474
-820.58105,500,72.797484
-880.3255,500,72.797494
-926.4983,500,72.797505
-1002.73236,500,72.797515
-881.1977,500,72.797526
-913.4797,500,72.797536
-1015.44293,500,72.797546
-910.9545,500,72.797556
-794.3502,500,72.797565
-973.9043,500,72.797575
-887.12775,500,81.944032
-885.2142,500,81.944081
-842.8869,500,81.944088
-926.5187,500,81.944093
-936.63745,500,81.944097
-926.10205,500,81.944102
-862.6882,500,81.944105
-1030.525,500,81.94411
-903.4,500,81.944114
-879.97784,500,81.944119
-958.9534,500,81.944123
-1000.7238,500,81.944128
-1001.90765,500,81.944132
