#{"t_start": 1787121468.9454017, "env_id": "None"}
r,l,t
-331.95972,500,16.689873
-392.0865,500,16.689912
-568.73016,500,16.689919
-452.7376,500,16.689923
-619.96924,500,26.523074
-575.19025,500,26.523113
-528.35626,500,26.523119
-342.84274,500,26.523124
-789.23987,500,36.722504
-506.1712,500,36.722543
-601.3139,500,36.722549
-554.0909,500,36.722553
-553.5967,500,47.077731
-593.8063,500,47.077768
-671.0793,500,47.077775
-666.21857,500,47.077779
-396.4227,500,59.148129
-500.73975,500,59.14817
-509.55298,500,59.148177
-309.0076,500,59.148181
-503.02914,500,69.267273
-667.8959,500,69.267313
-634.4811,500,69.26732
-392.00003,500,69.267325
-607.1286,500,79.233704
-638.1254,500,79.233743
-422.25418,500,79.233749
-436.33548,500,79.233753
-449.4627,500,88.905929
-672.4461,500,88.905969
-605.93207,500,88.905976
-553.86346,500,88.90598
-747.9593,500,100.629083
-510.2528,500,100.629125
-503.79044,500,100.629132
-475.95508,500,100.629136
-407.0054,500,110.63728
-480.95923,500,110.637321
-399.86127,500,110.637327
-424.42072,500,110.637331
-321.98538,500,121.447519
-475.44336,500,121.447558
-672.7744,500,121.447565
-651.4794,500,121.447569
-527.33966,500,131.645503
-676.8156,500,131.645545
-504.51266,500,131.645551
-615.7668,500,131.645556
-536.3779,500,145.614102
-331.8998,500,145.614142
-484.27814,500,145.614148
-547.12354,500,145.614153
-352.34164,500,155.753932
-422.0253,500,155.753972
-362.69452,500,155.753979
-611.57764,500,155.753983
-563.55615,500,166.055844
-542.7419,500,166.055884
-520.7357,500,166.055891
-503.01938,500,166.055895
-371.6804,500,176.673284
-337.08716,500,176.673326
-328.24634,500,176.673333
-360.45895,500,176.673337
-537.8759,500,188.292156
-581.9097,500,188.292199
-267.66708,500,188.292206
-497.91843,500,188.29221
-500.10123,500,198.527547
-551.2714,500,198.527585
-471.30988,500,198.527592
-620.9629,500,198.527596
-328.24527,500,208.43545
-298.52618,500,208.435489
-503.4766,500,208.435496
-475.32703,500,208.4355
-745.59576,500,219.043789
-580.62775,500,219.043829
-339.41562,500,219.043835
-475.04987,500,219.04384
-393.37128,500,232.294836
-395.65543,500,232.294873
-600.70667,500,232.29488
-677.7197,500,232.294884
-347.57465,500,242.096376
-355.10632,500,242.096414
-494.5752,500,242.09642
-438.14822,500,242.096424
-293.04254,500,252.100963
-470.90152,500,252.101003
-630.18585,500,252.101009
-423.11758,500,252.101014
-283.0384,500,262.36249
-425.49942,500,262.362533
-349.96307,500,262.362539
-489.17923,500,262.362544
-421.9071,500,275.551687
-311.89822,500,275.551727
-462.56842,500,275.551734
-435.4413,500,275.551738
-605.02954,500,285.891185
-364.98727,500,285.891221
-456.52115,500,285.891228
-333.74307,500,285.891232
-461.57108,500,295.982313
-354.61847,500,295.982349
-488.80432,500,295.982356
-293.64935,500,295.982359
