#{"t_start": 1788255627.7757828, "env_id": "None"}
r,l,t
-1033.1042,500,27.530702
-1001.74646,500,27.530766
-963.58655,500,27.530774
-1048.338,500,27.530779
-1070.7401,500,27.530784
-991.66095,500,27.530788
-987.2871,500,27.530792
-1062.5642,500,27.530798
-982.5824,500,27.530803
-818.24744,500,27.530807
-1020.03674,500,27.530812
-909.1001,500,27.530816
-908.6984,500,27.53082
-1097.3787,500,27.530827
-1011.0188,500,27.530831
-934.3381,500,27.530835
-869.4465,500,36.65732
-953.1415,500,36.657372
-1096.6312,500,36.657381
-1028.3046,500,36.657386
-778.1953,500,36.657391
-973.0452,500,36.657396
-877.5339,500,36.657401
-783.0193,500,36.657405
-967.2682,500,36.65741
-971.0902,500,36.657415
-1079.8774,500,36.657419
-904.9736,500,36.657425
-977.6009,500,36.657429
-1044.5793,500,36.657433
-1106.4498,500,36.657438
-1002.2154,500,36.657442
-1188.7803,500,45.71252
-959.5762,500,45.712571
-822.16907,500,45.712579
-988.59766,500,45.712585
-1087.604,500,45.71259
-1101.5898,500,45.712594
-909.5022,500,45.712598
-1129.0333,500,45.712603
-1013.9438,500,45.712607
-931.8539,500,45.712611
-867.2958,500,45.712615
-950.7342,500,45.71262
-1043.0643,500,45.712625
-977.97205,500,45.712629
-890.7538,500,45.712633
-1012.52734,500,45.712637
-999.75146,500,54.793213
-911.77814,500,54.793269
-965.93,500,54.793278
-973.19727,500,54.793284
-1010.0292,500,54.79329
-956.22,500,54.793295
-897.3076,500,54.793301
-1081.9851,500,54.793305
-982.9296,500,54.793311
-1023.5384,500,54.793316
-882.2186,500,54.793321
-1166.7786,500,54.793327
-574.53394,500,54.793332
-962.2656,500,54.793338
-952.2168,500,54.793343
-896.9808,500,54.793348
-860.83685,500,70.830287
-869.88824,500,70.830343
-858.04675,500,70.830352
-911.09106,500,70.830359
-859.5499,500,70.830365
-883.5013,500,70.830371
-932.4294,500,70.830375
-907.8026,500,70.83038
-952.96814,500,70.830384
-930.96985,500,70.830389
-894.3686,500,70.830394
-911.01587,500,70.830398
-766.1458,500,70.830402
-967.65594,500,70.830407
-980.25,500,70.830412
-1026.5135,500,70.830416
-936.7827,500,80.073098
-956.7797,500,80.073153
-870.6584,500,80.073162
-1061.6581,500,80.073169
-841.68097,500,80.073175
-969.3084,500,80.07318
-945.9409,500,80.073186
-923.526,500,80.073191
-863.2923,500,80.073197
-820.30817,500,80.073203
-868.8746,500,80.073208
-873.0326,500,80.073215
-942.2162,500,80.07322
-895.39606,500,80.073226
-956.1964,500,80.073232
-932.5551,500,80.073237
-980.5382,500,89.278513
-863.3639,500,89.278589
-988.14966,500,89.278606
-881.04553,500,89.27862
-970.21765,500,89.278632
-975.63513,500,89.278644
-961.1119,500,89.278655
-988.181,500,89.278666
-870.5619,500,89.278676
-846.61005,500,89.278689
-910.50305,500,89.2787
-945.68634,500,89.278712
-939.60443,500,89.278723
-969.8689,500,89.278734
-937.8947,500,89.278745
-900.00275,500,89.278757
-892.06476,500,98.542654
-1039.4333,500,98.54271
-817.76013,500,98.54272
-1015.8562,500,98.542726
-954.31415,500,98.542732
-987.4857,500,98.542737
-874.6686,500,98.542743
-907.9963,500,98.542749
-1007.2383,500,98.542754
-970.43225,500,98.542759
-927.9304,500,98.542765
-958.3626,500,98.542769
-893.1891,500,98.542774
-854.5105,500,98.542779
-963.6231,500,98.542784
-944.60596,500,98.542788
-852.9243,500,115.386585
-890.904,500,115.386644
-989.909,500,115.386656
-925.4384,500,115.386662
-798.5758,500,115.386667
-843.9479,500,115.386674
-990.23627,500,115.386679
-799.3401,500,115.386685
-818.6307,500,115.386691
-916.6903,500,115.386697
-969.6366,500,115.386702
-842.42395,500,115.386706
-967.1728,500,115.386711
-856.4335,500,115.386715
-985.51135,500,115.386719
-788.08014,500,115.386724
-879.13214,500,124.528201
-944.0002,500,124.528254
-934.33923,500,124.528264
-919.2634,500,124.528271
-825.5078,500,124.528278
-967.95636,500,124.528283
-837.3569,500,124.528289
-889.13916,500,124.528296
-952.072,500,124.528303
-965.4392,500,124.528309
-974.8697,500,124.528316
-930.72424,500,124.528323
-928.2181,500,124.52833
-1005.55164,500,124.528337
-912.71497,500,124.528343
-709.6264,500,124.528448
-998.2594,500,133.784688
-825.13525,500,133.784736
-944.81464,500,133.784745
-984.3536,500,133.78475
-914.2967,500,133.784755
-935.0173,500,133.78476
-897.6263,500,133.784764
-791.8472,500,133.784769
-993.29926,500,133.784773
-834.3164,500,133.784778
-966.96893,500,133.784783
-932.2905,500,133.784789
-872.40186,500,133.784793
-888.64276,500,133.784797
-868.41766,500,133.784803
-872.3581,500,133.784807
-846.68835,500,142.980446
-1027.8552,500,142.980499
-947.79974,500,142.980507
-974.91205,500,142.980512
-915.96466,500,142.980517
-907.2931,500,142.980521
-886.5917,500,142.980527
-832.90594,500,142.980531
-953.74146,500,142.980536
-847.9379,500,142.980541
-884.4841,500,142.980545
-954.25934,500,142.98055
-914.5867,500,142.980555
-779.2631,500,142.980559
-846.0555,500,142.980564
-901.0972,500,142.980568
-906.3154,500,160.68687
-872.80505,500,160.686926
-915.73,500,160.686936
-805.39557,500,160.686942
-957.49963,500,160.686949
-907.32043,500,160.686954
-831.5798,500,160.68696
-784.1478,500,160.686965
-809.3731,500,160.686971
-1014.7027,500,160.686976
-841.15875,500,160.686982
-858.17847,500,160.686988
-816.54,500,160.686994
-909.4855,500,160.686999
-943.7611,500,160.687005
-887.76917,500,160.68701
-851.6157,500,169.829521
-823.1239,500,169.829571
-852.02814,500,169.82958
-804.5711,500,169.829585
-790.7618,500,169.82959
-868.9224,500,169.829594
-858.77704,500,169.829599
-808.6786,500,169.829603
-920.2877,500,169.829608
-970.50134,500,169.829612
-890.97375,500,169.829617
-852.2663,500,169.829621
-852.1236,500,169.829625
-811.3457,500,169.829629
-739.4967,500,169.829635
-889.40356,500,169.829639
-888.7128,500,178.967441
-938.39136,500,178.96749
-954.9288,500,178.967498
-928.2376,500,178.967503
-905.49677,500,178.967507
-930.70667,500,178.967512
-913.17816,500,178.967516
-807.2641,500,178.96752
-789.56335,500,178.967525
-868.0965,500,178.96753
-819.76074,500,178.967535
-925.0098,500,178.96754
-866.22534,500,178.967544
-752.1937,500,178.967548
-858.1176,500,178.967553
-750.1485,500,178.967558
-848.39014,500,188.119056
-923.8848,500,188.119119
-815.796,500,188.119127
-853.465,500,188.119134
-860.22943,500,188.119139
-917.9303,500,188.119145
-829.9807,500,188.11915
-868.19916,500,188.119156
-828.768,500,188.119162
-929.649,500,188.119169
-888.5444,500,188.119174
-924.4787,500,188.11918
-889.96686,500,188.119185
-896.1628,500,188.119191
-825.71063,500,188.119197
-1036.5676,500,188.119202
-803.5757,500,205.122651
-852.0682,500,205.122705
-798.32446,500,205.122714
-833.32623,500,205.122719
-795.54346,500,205.122725
-890.3052,500,205.122729
-827.0581,500,205.122734
-951.245,500,205.122738
-905.29517,500,205.122743
-879.8376,500,205.122748
-815.9653,500,205.122752
-855.79865,500,205.122756
-722.136,500,205.122761
-858.85065,500,205.122765
-843.8398,500,205.12277
-851.13617,500,205.122774
-898.11584,500,214.287422
-780.7154,500,214.287476
-773.9287,500,214.287485
-780.4915,500,214.287492
-810.6965,500,214.287498
-823.87146,500,214.287505
-841.21783,500,214.287509
-843.5437,500,214.287513
-826.1418,500,214.287519
-768.6701,500,214.287523
-790.26776,500,214.287527
-855.8476,500,214.287532
-740.7203,500,214.287536
-771.53296,500,214.287541
-811.1619,500,214.287545
-865.95154,500,214.287549
-792.164,500,223.428844
-913.86176,500,223.428894
-809.70026,500,223.428902
-853.1332,500,223.428907
-819.40186,500,223.428911
-867.22894,500,223.428916
-793.2,500,223.428921
-873.93695,500,223.428925
-790.83563,500,223.42893
-880.7174,500,223.428935
-904.2017,500,223.428939
-764.7291,500,223.428944
-923.8083,500,223.428948
-846.9611,500,223.428952
-870.49725,500,223.428957
-736.6643,500,223.428961
-815.94745,500,232.478384
-823.6918,500,232.478431
-802.6703,500,232.478439
-903.9146,500,232.478443
-888.07294,500,232.478448
-879.08014,500,232.478452
-842.493,500,232.478457
-897.42316,500,232.478461
-879.46014,500,232.478466
-759.71436,500,232.47847
-832.9106,500,232.478474
-827.8556,500,232.478487
-963.14557,500,232.478491
-784.8603,500,232.478495
-868.75305,500,232.478498
-772.063,500,232.478503
-785.6441,500,249.929526
-871.09705,500,249.929585
-821.2464,500,249.929596
-828.9543,500,249.929602
-774.9271,500,249.929609
-805.75397,500,249.929614
-874.7848,500,249.92962
-825.7326,500,249.929626
-805.83453,500,249.929631
-744.4472,500,249.929636
-836.5747,500,249.929641
-817.82336,500,249.929646
-799.68164,500,249.929651
-795.5323,500,249.929657
-855.63525,500,249.929662
-934.2279,500,249.929667
-831.9013,500,258.98155
-800.06287,500,258.981603
-826.6653,500,258.981614
-755.8933,500,258.98162
-749.8067,500,258.981626
-798.3675,500,258.981631
-770.36426,500,258.981637
-779.09656,500,258.981642
-770.02264,500,258.981647
-795.75275,500,258.981653
-919.8222,500,258.981659
-837.5179,500,258.981664
-881.2018,500,258.981669
-820.239,500,258.981675
-809.8062,500,258.98168
-787.51953,500,258.981685
-800.7519,500,268.11659
-875.5539,500,268.116639
-857.6376,500,268.116647
-786.20435,500,268.116652
-777.57837,500,268.116658
-703.0318,500,268.116664
-800.7328,500,268.116668
-790.7522,500,268.116672
-826.0811,500,268.116677
-887.8013,500,268.116681
-761.8222,500,268.116684
-877.8029,500,268.116688
-750.91174,500,268.116693
-814.9321,500,268.116698
-878.6428,500,268.116702
-817.6245,500,268.116707
-739.27295,500,277.202214
-832.43,500,277.202268
-831.1991,500,277.202276
-811.02405,500,277.202281
-846.1385,500,277.202286
-788.03534,500,277.20229
-783.48035,500,277.202294
-895.033,500,277.202298
-826.1064,500,277.202303
-772.36664,500,277.202307
-858.4321,500,277.202311
-742.82715,500,277.202315
-792.30444,500,277.20232
-879.1716,500,277.202324
-857.62885,500,277.202328
-825.7211,500,277.202332
-925.7028,500,294.422763
-608.3448,500,294.42282
-840.0339,500,294.422828
-849.6371,500,294.422833
-855.3044,500,294.422837
-904.32117,500,294.422842
-861.3745,500,294.422846
-795.22156,500,294.42285
-850.48834,500,294.422855
-846.95636,500,294.422859
-755.62494,500,294.422863
-829.3812,500,294.422867
-815.8961,500,294.422871
-773.1277,500,294.422875
-777.4996,500,294.42288
-626.53577,500,294.422885
-802.2408,500,303.538639
-839.87915,500,303.538689
-826.9393,500,303.538697
-820.0036,500,303.538702
-806.43195,500,303.538707
-834.7131,500,303.538711
-778.9573,500,303.538716
-797.1453,500,303.538721
-843.29956,500,303.538725
-783.6605,500,303.53873
-775.0855,500,303.538734
-833.91394,500,303.538738
-803.9119,500,303.538743
-742.6566,500,303.538748
-771.16,500,303.538752
-803.28705,500,303.538756
-736.78723,500,312.705468
-823.3828,500,312.705523
-714.0329,500,312.705533
-700.3559,500,312.705539
-793.75946,500,312.705545
-858.53503,500,312.70555
-767.3358,500,312.705554
-817.49854,500,312.705558
-883.75464,500,312.705563
-605.41455,500,312.705567
-932.32684,500,312.705571
-869.67957,500,312.705576
-800.51013,500,312.70558
-791.36523,500,312.705585
-766.6841,500,312.70559
-793.87213,500,312.705595
-471.23764,336,318.845184
-797.78125,500,321.868114
-838.3049,500,321.868167
-784.673,500,321.868176
-846.69244,500,321.868183
-832.3588,500,321.868189
-756.66797,500,321.868194
-789.4401,500,321.868199
-789.157,500,321.868204
-839.5599,500,321.86821
-794.152,500,321.868215
-650.79846,500,321.868222
-861.07697,500,321.868228
-797.84125,500,321.868234
-816.3864,500,321.868239
-839.8724,500,321.868244
-846.9157,500,328.112586
