#{"t_start": 1787112854.6763508, "env_id": "None"}
r,l,t
-146.64369,500,17.233124
-164.004,500,17.233166
-138.59,500,17.233173
-153.97324,500,17.233177
-147.10962,500,27.572985
-129.66064,500,27.573024
-127.1541,500,27.573031
-128.51497,500,27.573035
-138.13942,500,38.098251
-145.23256,500,38.098291
-140.56853,500,38.098298
-123.71294,500,38.098303
-133.8362,500,50.115443
-163.36447,500,50.115484
-157.22847,500,50.115491
-162.65257,500,50.115496
-148.58774,500,62.701967
-132.001,500,62.70201
-147.82527,500,62.702017
-134.36813,500,62.702022
-149.33658,500,73.467229
-148.93333,500,73.467269
-124.19038,500,73.467275
-147.97751,500,73.467279
-132.98164,500,84.516553
-145.04352,500,84.516592
-134.30757,500,84.516599
-147.05547,500,84.516603
-145.54408,500,95.234729
-159.43233,500,95.234768
-142.8072,500,95.234775
-145.91515,500,95.234779
-137.54572,500,108.504688
-143.44409,500,108.504726
-126.485176,500,108.504733
-140.99683,500,108.504737
-147.67743,500,119.028713
-140.50171,500,119.028751
-141.06345,500,119.028758
-137.36084,500,119.028761
-143.20007,500,128.580583
-123.30265,500,128.580623
-136.73253,500,128.58063
-124.663124,500,128.580634
-147.27348,500,140.333121
-138.1165,500,140.33316
-134.76758,500,140.333166
-152.86644,500,140.333171
-141.07784,500,152.34289
-128.90877,500,152.342929
-136.46004,500,152.342936
-140.61049,500,152.34294
-130.68277,500,162.440618
-133.70453,500,162.440657
-137.50081,500,162.440664
-140.07047,500,162.440668
-137.00563,500,172.983351
-127.8909,500,172.9834
-127.24626,500,172.983408
-142.57689,500,172.983413
-137.17603,500,183.36186
-142.65761,500,183.3619
-139.81601,500,183.361907
-137.68994,500,183.361912
-132.7146,500,194.719967
-137.09085,500,194.720009
-128.29092,500,194.720016
-125.03721,500,194.720021
-133.27045,500,204.493368
-129.17819,500,204.493407
-125.85001,500,204.493414
-117.84513,500,204.493418
-138.12927,500,214.354545
-134.8874,500,214.354584
-123.12352,500,214.35459
-127.64834,500,214.354594
-131.79778,500,224.936164
-125.16569,500,224.936207
-140.99135,500,224.936213
-134.06174,500,224.936217
-137.54466,500,237.883793
