#{"t_start": 1786954328.4460561, "env_id": "None"}
r,l,t
-325.5928,500,16.035052
-263.97565,500,16.035095
-276.7316,500,16.035101
-241.67595,500,16.035106
-272.2863,500,26.209681
-171.64838,500,26.209719
-348.4962,500,26.209726
-258.8887,500,26.20973
-383.811,500,36.178394
-184.44719,500,36.178438
-208.84059,500,36.178445
-173.49947,500,36.178449
-230.9339,500,47.176951
-173.30872,500,47.176991
-308.01712,500,47.176997
-137.53714,500,47.177001
-283.2084,500,59.656683
-295.75067,500,59.656729
-189.77382,500,59.656736
-213.55128,500,59.65674
-405.3373,500,71.497772
-218.99171,500,71.497809
-207.80899,500,71.497815
-185.81639,500,71.497819
-243.75066,500,82.178337
-218.59892,500,82.178391
-453.6882,500,82.178399
-233.83543,500,82.178404
-241.60994,500,92.711286
-182.19003,500,92.711323
-153.2772,500,92.71133
-196.9637,500,92.711334
-177.21336,500,105.099369
-106.315605,500,105.099414
-295.88095,500,105.099421
-275.7127,500,105.099425
-104.42739,500,115.508427
-207.44328,500,115.508464
-245.2581,500,115.508471
-208.96281,500,115.508476
-333.68283,500,126.234225
-191.92485,500,126.234265
-91.32942,500,126.234271
-122.87995,500,126.234276
-242.56017,500,137.045918
-283.7055,500,137.045966
-179.34076,500,137.045974
-313.59616,500,137.045978
-177.26428,500,149.843331
-207.95035,500,149.84337
-150.2556,500,149.843377
-341.07407,500,149.843381
-192.44435,500,159.97601
-184.55608,500,159.976054
-199.63048,500,159.976063
-297.88107,500,159.976069
-269.92334,500,170.302611
-211.59247,500,170.302651
-193.056,500,170.302657
-154.45276,500,170.302661
-118.40432,500,180.28999
-198.50494,500,180.290029
-219.0644,500,180.290036
-200.62064,500,180.29004
-195.39372,500,191.822581
-125.88724,500,191.822618
-152.78041,500,191.822624
-284.58063,500,191.822628
-209.35991,500,201.776179
-142.91946,500,201.77622
-209.7111,500,201.776227
-118.69744,500,201.776233
-204.16423,500,212.145952
-231.00171,500,212.145989
-223.65176,500,212.145995
-262.30975,500,212.145999
-87.73536,500,223.714684
-129.26529,500,223.714723
-127.89779,500,223.714729
-242.19655,500,223.714733
-206.42242,500,235.915632
-240.5292,500,235.915677
-91.74966,500,235.915684
-135.03526,500,235.915688
-112.19988,500,245.845744
-153.80775,500,245.845781
-156.36269,500,245.845787
-176.3976,500,245.845791
-135.18826,500,256.485184
-206.29399,500,256.485224
-161.18245,500,256.48523
-105.10678,500,256.485234
-179.69724,500,266.781911
-132.56259,500,266.781946
-96.64345,500,266.781952
-169.52328,500,266.781956
-197.78653,500,279.987731
-170.38554,500,279.987768
-190.46576,500,279.987775
-155.2444,500,279.987779
-147.06427,500,290.348728
-150.42656,500,290.348768
-177.49751,500,290.348774
-124.65288,500,290.348778
-129.4306,500,300.445937
-162.36044,500,300.445972
-123.7476,500,300.445979
-190.98427,500,300.445983
-215.81764,500,310.40282
-104.178734,500,310.402856
-172.20108,500,310.402862
-106.605705,500,310.402867
-149.36385,500,324.361265
-135.29187,500,324.361307
-226.39693,500,324.361315
-185.13428,500,324.361319
-127.590614,500,334.700762
