#{"t_start": 1787037276.2584662, "env_id": "None"}
r,l,t
-448.34567,500,17.028789
-328.55234,500,17.028838
-361.4536,500,17.028847
-441.41873,500,17.028851
-424.43292,500,27.336534
-348.57956,500,27.336578
-362.8791,500,27.336585
-379.44894,500,27.336589
-560.2293,500,37.304224
-398.78638,500,37.304268
-248.55188,500,37.304275
-357.06903,500,37.30428
-390.2863,500,47.98108
-396.12756,500,47.981125
-404.20032,500,47.981133
-437.84637,500,47.981138
-454.13165,500,60.943803
-448.98718,500,60.943846
-210.70467,500,60.943854
-331.53983,500,60.943859
-263.48834,500,71.502435
-350.85333,500,71.502476
-329.6155,500,71.502483
-413.1967,500,71.502488
-340.49844,500,82.001272
-470.26013,500,82.001318
-311.32437,500,82.001325
-194.47925,500,82.001329
-424.51352,500,93.412669
-421.82095,500,93.412723
-433.27536,500,93.412731
-329.45456,500,93.412735
-398.83813,500,106.537076
-345.74594,500,106.537124
-319.37207,500,106.537132
-459.12326,500,106.537137
-351.74594,500,118.229536
-383.41565,500,118.229579
-225.70236,500,118.229587
-396.0272,500,118.229591
-380.68335,500,128.16823
-181.05795,500,128.168274
-348.06308,500,128.168281
-354.2429,500,128.168286
-129.54733,500,137.977398
-200.66193,500,137.977439
-336.38852,500,137.977446
-275.40695,500,137.97745
-310.5811,500,151.197456
-386.04453,500,151.1975
-355.96814,500,151.197508
-253.16841,500,151.197512
-397.88403,500,160.794068
-337.77078,500,160.794107
-193.0619,500,160.794114
-389.8764,500,160.794118
-187.38333,500,170.50678
-354.17847,500,170.50682
-345.57138,500,170.506827
-333.9383,500,170.506831
-337.43637,500,180.823411
-99.29881,500,180.823455
-368.5002,500,180.823463
-175.92966,500,180.823467
-151.05576,500,193.32483
-240.40448,500,193.324872
-182.93996,500,193.32488
-213.5661,500,193.324884
-239.47946,500,204.465244
-199.38028,500,204.465287
-154.07079,500,204.465294
-358.05966,500,204.465299
-175.12401,500,214.602915
-258.43726,500,214.602959
-202.68678,500,214.602966
-244.6881,500,214.60297
-190.08981,500,224.485149
-372.3304,500,224.485196
-307.1001,500,224.485204
-251.0044,500,224.485208
-232.48767,500,236.148859
-252.52087,500,236.148903
-208.61423,500,236.14891
-302.18616,500,236.148915
-340.4235,500,246.881382
-285.69754,500,246.881423
-203.06532,500,246.88143
-432.80396,500,246.881434
-375.16434,500,256.582162
-325.39734,500,256.582204
-189.37418,500,256.582211
-167.31989,500,256.582215
-353.93735,500,266.827835
-329.0929,500,266.82788
-282.11996,500,266.827887
-216.20177,500,266.827891
-301.74686,500,280.428992
-281.7224,500,280.429038
-311.34842,500,280.429046
-109.20294,500,280.42905
-216.05971,500,291.330724
-222.55423,500,291.330769
-230.92754,500,291.330776
-237.40572,500,291.330781
-270.5068,500,301.485392
-291.49915,500,301.485432
-236.34735,500,301.48544
-301.94302,500,301.485444
-159.93866,500,311.515489
-193.47273,500,311.515531
-273.40674,500,311.515538
-297.22787,500,311.515543
-215.53233,500,325.519622
-220.3152,500,325.519666
-231.1996,500,325.519673
-374.24646,500,325.519678
-212.62656,500,337.483545
-234.14853,500,337.483588
-177.403,500,337.483595
-260.11887,500,337.4836
-138.59363,500,347.704164
-180.2234,500,347.704206
-254.68588,500,347.704213
-195.73337,500,347.704218
-240.68315,500,357.934855
-282.97583,500,357.934896
-149.31111,500,357.934903
-250.2529,500,357.934909
-260.1947,500,371.186749
-206.07204,500,371.186796
-178.91196,500,371.186804
-181.63455,500,371.186809
-194.66188,500,381.369801
-177.13316,500,381.369843
-179.9245,500,381.36985
-179.4277,500,381.369854
-235.5117,500,392.061449
-215.4109,500,392.061489
-333.55392,500,392.061496
-264.01248,500,392.061501
-118.63005,500,402.420379
-250.55377,500,402.420432
-249.84564,500,402.42044
-208.40723,500,402.420445
-165.46391,500,414.23832
-232.24605,500,414.238367
-188.16435,500,414.238375
-266.46674,500,414.238379
-152.81357,500,424.75642
-252.20384,500,424.756458
-190.53307,500,424.756465
-185.6776,500,424.75647
-206.82487,500,434.255172
-164.92499,500,434.255224
-276.05533,500,434.255231
-217.34091,500,434.255234
-211.10437,500,444.411774
-108.60084,500,444.411816
-265.7754,500,444.411822
-199.7067,500,444.411825
-188.18733,500,482.474999
-178.87718,500,482.475041
-200.79266,500,482.475049
-193.44078,500,482.475053
-161.0622,500,493.659875
-163.70395,500,493.659917
-160.48094,500,493.659924
-205.25748,500,493.659928
-146.63968,500,503.055505
-169.40062,500,503.055551
-190.844,500,503.055558
-168.96396,500,503.055562
-214.01315,500,513.315158
-156.99707,500,513.3152
-156.42139,500,513.315207
-129.06322,500,513.315211
-102.5985,298,519.326016
-183.75853,500,523.353944
-119.553375,500,523.35399
-192.28319,500,523.353998
-214.98306,500,531.738858
-236.20786,500,536.426145
-160.7773,500,536.426189
-195.0424,500,536.426196
-97.34854,500,542.552624
-138.71547,500,546.687356
-226.73712,500,546.687398
-189.80238,500,546.687405
-145.91916,500,552.643478
-148.70775,500,556.635834
-179.62515,500,556.635876
-149.38208,500,556.635883
-159.91434,500,562.75823
-189.48856,500,567.117329
-138.42973,500,567.117375
-226.84875,500,567.117383
-229.58769,500,574.641901
-168.41711,500,578.964532
-109.83821,500,578.964575
-171.74333,500,578.964582
-150.94023,500,585.495199
-136.98952,500,589.747645
-141.07973,500,589.747697
-196.99652,500,589.747705
-178.46725,500,597.005854
-190.63986,500,601.285005
-171.37694,500,601.285051
-125.87031,500,601.285059
-182.33553,500,607.864637
-159.7288,479,611.867605
-163.00253,500,612.380426
-175.77748,500,612.380477
-118.64993,500,620.616294
-159.31975,500,624.350903
-193.71544,500,624.836166
-114.42901,500,624.836204
-140.13275,500,631.101883
-139.18355,500,634.594417
-115.42608,500,635.036929
-340.6776,500,635.036968
-171.88489,500,641.044105
-156.68396,500,644.756775
-182.90178,500,645.222823
-172.20345,500,645.222861
-173.04576,500,651.106573
-169.43152,500,654.652565
-263.75885,500,655.095761
-151.49275,500,655.095801
-121.29903,500,662.393235
-160.06302,500,666.796146
-107.97652,500,667.244041
-130.4407,500,667.24408
-106.02909,500,673.302405
-159.89383,500,677.382415
-140.0608,500,677.828133
-146.23914,500,677.828168
-161.53252,500,683.92239
-187.72562,500,687.476449
-102.690796,500,687.986407
-105.76051,500,687.986443
-144.65085,500,694.275869
-110.77082,500,698.444452
-131.44571,500,698.906448
-255.65942,500,698.906486
-122.82469,500,706.85638
-126.306,500,710.681914
-135.17757,500,711.236442
-162.55286,500,711.236498
-152.65881,500,717.688525
-140.51115,500,722.004797
-187.88327,500,722.486271
-168.62422,500,722.486312
-147.15015,500,728.287275
-127.550186,500,732.013728
-174.5161,500,732.445457
-148.29852,500,732.445495
-147.88072,500,738.058037
-141.22537,500,741.885063
-89.97486,500,742.31818
-127.454994,500,742.318218
-107.2774,500,750.104816
-106.73034,500,753.949536
-144.54454,500,754.436594
-243.90393,500,754.436636
-100.69191,500,761.343787
-160.88208,500,765.999885
-109.60753,500,766.603006
-102.57518,500,766.603058
-99.81794,500,773.807596
-130.18085,500,778.111454
-135.98907,500,778.737601
-131.91588,500,778.737645
-147.45248,500,785.961827
-123.32288,500,790.205966
-182.41687,500,790.718808
-144.01233,500,790.718847
-143.94186,500,798.82593
-89.86384,500,804.854939
-100.347435,500,805.33862
-105.789185,500,805.338691
-128.60574,500,812.172197
-90.33329,500,816.023135
-85.34208,500,816.596922
-114.32237,500,816.596967
-135.56888,500,824.094802
-179.26434,500,827.942597
-192.04288,500,828.410128
-129.90948,500,828.410178
-136.18669,500,834.831686
-106.66274,500,838.598994
-91.102516,500,839.1578
-99.42821,500,839.157845
-116.29167,500,845.476167
-125.65902,500,850.933448
-158.15529,500,851.54992
-95.22209,500,851.549961
-164.47926,500,857.786746
-104.270805,500,861.519956
-119.38009,500,861.971711
-144.32933,500,861.971754
-122.90524,500,867.986616
-149.18245,500,872.705924
-163.01439,500,873.245769
-94.55922,500,873.245808
-107.62496,500,879.228314
-120.2286,500,883.080468
-134.5248,500,883.535739
-112.26844,500,883.535779
-125.688225,500,889.414248
-126.54245,500,894.870754
-154.51363,500,895.385226
-154.99135,500,895.385263
-129.78737,500,901.756664
-121.55106,500,905.333775
-159.22617,500,905.769455
-119.87732,500,905.769493
-103.138405,500,911.878546
-117.25575,500,915.489547
-123.10195,500,916.039133
-133.69879,500,916.039173
-112.31902,500,948.257439
-124.12095,500,951.720431
-157.78459,500,952.164044
-146.94281,500,952.164086
-105.223206,500,958.189708
-155.08853,500,963.174097
-125.22421,500,963.624756
-131.26637,500,963.62482
-112.8482,500,969.282541
-146.81313,500,972.987738
-104.03926,500,973.432131
-123.52587,500,973.432175
-107.58724,500,979.452703
-135.04857,500,983.117814
-115.38799,500,983.559613
-137.48293,500,983.55968
-144.86342,500,989.564766
-133.28104,500,993.076704
-123.67708,500,993.527924
-133.13487,500,993.527988
-137.39656,500,999.352807
-106.63408,500,1002.892411
-109.4772,500,1003.338731
-213.8384,500,1003.338772
-120.72642,500,1012.476499
-85.141655,500,1015.996914
-91.15874,500,1016.433186
-84.45745,500,1016.433222
-89.97526,500,1022.849535
-121.30932,500,1026.365309
-135.01479,500,1026.788901
-110.760086,500,1026.788939
-115.509735,500,1032.605273
-141.62787,500,1036.093445
-112.24653,500,1036.531289
-163.31694,500,1036.531327
-103.67261,500,1042.361938
-124.5488,500,1046.321357
-131.3255,500,1046.842178
-113.03138,500,1046.842223
-94.11396,500,1055.32287
-116.19632,500,1060.005984
-150.33098,500,1060.756575
-126.305435,500,1060.756615
-129.37012,500,1066.636044
-292.45917,500,1070.326319
-111.990265,500,1070.809657
-109.04367,500,1070.809699
-104.7756,500,1076.889398
-77.27815,500,1080.348474
-129.13776,500,1080.79682
-95.43116,500,1080.79686
-75.963295,500,1086.973198
-126.52683,500,1090.662048
-168.44048,500,1091.106742
-122.24228,500,1091.106783
-147.53836,500,1099.890568
-121.55697,500,1103.422667
-117.98021,500,1103.86603
-91.183075,500,1103.866069
-116.857254,500,1109.662089
-106.55328,500,1113.618474
-112.79009,500,1114.062689
-104.343636,500,1114.062728
-80.80424,500,1120.07278
-90.98251,500,1123.982172
-101.21453,500,1124.478756
-90.806854,500,1124.478795
-118.26577,500,1131.012072
-169.96342,500,1134.531565
-146.04994,500,1134.971883
-105.26705,500,1134.971922
-118.91473,500,1142.792587
-144.61172,500,1146.932706
-91.07226,500,1147.369405
-116.63309,500,1147.369443
-124.90109,500,1153.580513
-105.49961,500,1157.128264
-103.13612,500,1157.611363
-100.88138,500,1157.611399
-174.26743,500,1163.452495
-96.99571,500,1167.061716
-95.61035,500,1167.499142
-112.44739,500,1167.49918
-111.547386,500,1173.399132
-102.26862,500,1176.886095
-121.45667,500,1177.349087
-93.33512,500,1177.349127
