#{"t_start": 1784867838.5691805, "env_id": "None"}
r,l,t
-11.448438,500,19.627252
-17.541248,500,19.627361
-11.549782,500,19.627372
-13.810178,500,19.627379
-57.792084,360,30.07348
-9.547774,500,34.345608
-9.721513,500,34.345688
-10.609097,500,34.345697
-49.236034,77,36.600779
-5.344839,500,44.689553
-3.2433765,500,48.951484
-10.050056,500,48.95154
-7.4382496,500,51.182963
-6.7145534,500,59.493054
-14.167572,500,63.65122
-4.4957175,500,63.651273
-3.0595865,500,69.095847
-50.40448,291,75.179464
-12.5778265,500,77.174469
-15.153872,500,81.421813
6.013207,500,83.719435
6.9187436,500,90.034197
-3.4311144,500,92.052972
-1.3147953,500,96.184236
-1.2692145,500,98.508214
